V1,V2,V3,V5,V7,V8,V9,V10,gid,PID,uid,gc,term,Attn_MariaAdam,Native_2,Native_2_TEXT,Native_3,Native_5,Language_1,Language_2,Language_3,Language_3_TEXT,Home,MariaEN,AlexEN,Consent,Intro,ScenN1,ScenN2,ScenN3,ScenN4,ScenN5,ScenN6,ScenN7,ScenN8,ScenN9,ScenN10,ScenN11,ScenN12,ScenN13,ScenN14,ScenN15,ScenN16,ScenN17,ScenN18,ScenN19,ScenN20,Scenario1,Scenario2,Scenario3,Scenario4,Scenario5,Scenario6,Scenario7,Scenario8,Scenario9,Scenario10,Scenario11,Scenario12,Scenario13,Scenario14,Scenario15,Scenario16,Scenario17,Scenario18,Scenario19,Scenario20,dv1,dv2,dv3,v73,dv5,dv6,dv7,dv8,dv9,dv10,dv11,dv12,dv13,v83,dv15,dv16,dv17,dv18,dv19,dv20,time_11,time_21,time_31,time_41,time_12,time_22,time_32,time_42,time_13,time_23,time_33,time_43,time_14,time_24,time_34,time_44,time_15,time_25,time_35,time_45,time_16,time_26,time_36,time_46,time_17,time_27,time_37,time_47,time_18,time_28,time_38,time_48,time_19,time_29,time_39,time_49,time_110,time_210,time_310,time_410,time_111,time_211,time_311,time_411,time_112,time_212,time_312,time_412,time_113,time_213,time_313,time_413,time_114,time_214,time_314,time_414,time_115,time_215,time_315,time_415,time_116,time_216,time_316,time_416,time_117,time_217,time_317,time_417,time_118,time_218,time_318,time_418,time_119,time_219,time_319,time_419,time_120,time_220,time_320,time_420,IRI_1,IRI_2,IRI_3,IRI_4,IRI_5,IRI_6,IRI_7,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,questioCRT1,questioCRT2,questioCRT3,questioCRT4,questioCRT5,answerCRT1,answerCRT2,answerCRT3,answerCRT4,answerCRT5,timeCRT_31,timeCRT_32,timeCRT_33,timeCRT_34,timeCRT_35,MariaGE,AlexGE,gender,age_1,familiar,familiar2,Q36,Q47,Q47_TEXT,Q49,Q51_1,Q53_1,Q55_1,Q55_2,Q55_3,Q55_4,Q55_5,Q55_6,Q55_7,Q55_8,Q57_1,Q57_2,Q57_3,Q57_4,comments,DOBRFL_22,DOBRFL_15,DOBLEmpathyIRIDavis1980,DOBLNeedforcognitionREIEpsteinet,DOQAlexGE,DOQMariaGE,DOQAlexEN,DOQMariaEN,DOQIRI,Include
ResponseID,ResponseSet,Name,LANGUAGE,Status,StartDate,EndDate,Finished,gid,PID,uid,gc,term,Attn_MariaAdam,What is your native language? -Other,What is your native language? -Other-TEXT,What is your native language? -German,What is your native language? -English,What languages do you speak with intermediate or above proficiency?-German,What languages do you speak with intermediate or above proficiency?-English,What languages do you speak with intermediate or above proficiency?-Other,What languages do you speak with intermediate or above proficiency?-Other-TEXT,"Growing up, did you speak a lot of English at home?",Please read the text below and answer the question. Maria is a student at a university. She recei...,Please read the text below and answer the question. Adam is a cashier at a mall. He is very good...,Agreement to Participate in Research You are invited to participate in a research study.æ Duratio...,"For this study, you will readæ20 moral dilemmas and then answer some other questions. For each di...",Scenario: ${lm://CurrentLoopNumber} of 20 (1),Scenario: ${lm://CurrentLoopNumber} of 20 (2),Scenario: ${lm://CurrentLoopNumber} of 20 (3),Scenario: ${lm://CurrentLoopNumber} of 20 (4),Scenario: ${lm://CurrentLoopNumber} of 20 (5),Scenario: ${lm://CurrentLoopNumber} of 20 (6),Scenario: ${lm://CurrentLoopNumber} of 20 (7),Scenario: ${lm://CurrentLoopNumber} of 20 (8),Scenario: ${lm://CurrentLoopNumber} of 20 (9),Scenario: ${lm://CurrentLoopNumber} of 20 (10),Scenario: ${lm://CurrentLoopNumber} of 20 (11),Scenario: ${lm://CurrentLoopNumber} of 20 (12),Scenario: ${lm://CurrentLoopNumber} of 20 (13),Scenario: ${lm://CurrentLoopNumber} of 20 (14),Scenario: ${lm://CurrentLoopNumber} of 20 (15),Scenario: ${lm://CurrentLoopNumber} of 20 (16),Scenario: ${lm://CurrentLoopNumber} of 20 (17),Scenario: ${lm://CurrentLoopNumber} of 20 (18),Scenario: ${lm://CurrentLoopNumber} of 20 (19),Scenario: ${lm://CurrentLoopNumber} of 20 (20),Imagine the following: ${lm://Field/3} (1),Imagine the following: ${lm://Field/3} (2),Imagine the following: ${lm://Field/3} (3),Imagine the following: ${lm://Field/3} (4),Imagine the following: ${lm://Field/3} (5),Imagine the following: ${lm://Field/3} (6),Imagine the following: ${lm://Field/3} (7),Imagine the following: ${lm://Field/3} (8),Imagine the following: ${lm://Field/3} (9),Imagine the following: ${lm://Field/3} (10),Imagine the following: ${lm://Field/3} (11),Imagine the following: ${lm://Field/3} (12),Imagine the following: ${lm://Field/3} (13),Imagine the following: ${lm://Field/3} (14),Imagine the following: ${lm://Field/3} (15),Imagine the following: ${lm://Field/3} (16),Imagine the following: ${lm://Field/3} (17),Imagine the following: ${lm://Field/3} (18),Imagine the following: ${lm://Field/3} (19),Imagine the following: ${lm://Field/3} (20),${lm://Field/3} (1),${lm://Field/3} (2),${lm://Field/3} (3),${lm://Field/3} (3),${lm://Field/3} (5),${lm://Field/3} (6),${lm://Field/3} (7),${lm://Field/3} (8),${lm://Field/3} (9),${lm://Field/3} (10),${lm://Field/3} (11),${lm://Field/3} (12),${lm://Field/3} (13),${lm://Field/3} (13),${lm://Field/3} (15),${lm://Field/3} (16),${lm://Field/3} (17),${lm://Field/3} (18),${lm://Field/3} (19),${lm://Field/3} (20),Timing (1)-First Click,Timing (1)-Last Click,"Timing (1)-#QuestionText, TimingPageSubmit#","Timing (1)-#QuestionText, TimingClickCount#",Timing (2)-First Click,Timing (2)-Last Click,"Timing (2)-#QuestionText, TimingPageSubmit#","Timing (2)-#QuestionText, TimingClickCount#",Timing (3)-First Click,Timing (3)-Last Click,"Timing (3)-#QuestionText, TimingPageSubmit#","Timing (3)-#QuestionText, TimingClickCount#",Timing (4)-First Click,Timing (4)-Last Click,"Timing (4)-#QuestionText, TimingPageSubmit#","Timing (4)-#QuestionText, TimingClickCount#",Timing (5)-First Click,Timing (5)-Last Click,"Timing (5)-#QuestionText, TimingPageSubmit#","Timing (5)-#QuestionText, TimingClickCount#",Timing (6)-First Click,Timing (6)-Last Click,"Timing (6)-#QuestionText, TimingPageSubmit#","Timing (6)-#QuestionText, TimingClickCount#",Timing (7)-First Click,Timing (7)-Last Click,"Timing (7)-#QuestionText, TimingPageSubmit#","Timing (7)-#QuestionText, TimingClickCount#",Timing (8)-First Click,Timing (8)-Last Click,"Timing (8)-#QuestionText, TimingPageSubmit#","Timing (8)-#QuestionText, TimingClickCount#",Timing (9)-First Click,Timing (9)-Last Click,"Timing (9)-#QuestionText, TimingPageSubmit#","Timing (9)-#QuestionText, TimingClickCount#",Timing (10)-First Click,Timing (10)-Last Click,"Timing (10)-#QuestionText, TimingPageSubmit#","Timing (10)-#QuestionText, TimingClickCount#",Timing (11)-First Click,Timing (11)-Last Click,"Timing (11)-#QuestionText, TimingPageSubmit#","Timing (11)-#QuestionText, TimingClickCount#",Timing (12)-First Click,Timing (12)-Last Click,"Timing (12)-#QuestionText, TimingPageSubmit#","Timing (12)-#QuestionText, TimingClickCount#",Timing (13)-First Click,Timing (13)-Last Click,"Timing (13)-#QuestionText, TimingPageSubmit#","Timing (13)-#QuestionText, TimingClickCount#",Timing (14)-First Click,Timing (14)-Last Click,"Timing (14)-#QuestionText, TimingPageSubmit#","Timing (14)-#QuestionText, TimingClickCount#",Timing (15)-First Click,Timing (15)-Last Click,"Timing (15)-#QuestionText, TimingPageSubmit#","Timing (15)-#QuestionText, TimingClickCount#",Timing (16)-First Click,Timing (16)-Last Click,"Timing (16)-#QuestionText, TimingPageSubmit#","Timing (16)-#QuestionText, TimingClickCount#",Timing (17)-First Click,Timing (17)-Last Click,"Timing (17)-#QuestionText, TimingPageSubmit#","Timing (17)-#QuestionText, TimingClickCount#",Timing (18)-First Click,Timing (18)-Last Click,"Timing (18)-#QuestionText, TimingPageSubmit#","Timing (18)-#QuestionText, TimingClickCount#",Timing (19)-First Click,Timing (19)-Last Click,"Timing (19)-#QuestionText, TimingPageSubmit#","Timing (19)-#QuestionText, TimingClickCount#",Timing (20)-First Click,Timing (20)-Last Click,"Timing (20)-#QuestionText, TimingPageSubmit#","Timing (20)-#QuestionText, TimingClickCount#","Using the scales, tell us how well each of the following statements describe you from 1 (does not...-When I see someone being taken advantage of, I feel kind of protective toward them","Using the scales, tell us how well each of the following statements describe you from 1 (does not...-When I see someone being treated unfairly, I sometimes don't feel very much pity for them.","Using the scales, tell us how well each of the following statements describe you from 1 (does not...-I often have tender, concerned feelings for people less fortunate than me.","Using the scales, tell us how well each of the following statements describe you from 1 (does not...-I would describe myself as a pretty soft-hearted person.","Using the scales, tell us how well each of the following statements describe you from 1 (does not...-Sometimes I don't feel sorry for other people when they are having problems.","Using the scales, tell us how well each of the following statements describe you from 1 (does not...-Other people's misfortunes do not usually disturb me a great deal.","Using the scales, tell us how well each of the following statements describe you from 1 (does not...-I am often quite touched by things that I see happen.","Using the scales, tell us how true each of the following statements are from 1 (completely false)...-I don't like to have to do a lot of thinking.","Using the scales, tell us how true each of the following statements are from 1 (completely false)...-I try to avoid situations that require thinking in depth about something.","Using the scales, tell us how true each of the following statements are from 1 (completely false)...-I prefer to do something that challenges my thinking abilities rather than something that requires little thought.","Using the scales, tell us how true each of the following statements are from 1 (completely false)...-I prefer complex to simple problems.","Using the scales, tell us how true each of the following statements are from 1 (completely false)...-Thinking hard and for a long time about something gives me little satisfaction.",Please answer the following question. (1),Please answer the following question. (2),Please answer the following question. (3),Please answer the following question. (4),Please answer the following question. (5),${lm://Field/2} (1),${lm://Field/2} (2),${lm://Field/2} (3),${lm://Field/2} (4),${lm://Field/2} (5),"Timing (1)-#QuestionText, TimingPageSubmit#","Timing (2)-#QuestionText, TimingPageSubmit#","Timing (3)-#QuestionText, TimingPageSubmit#","Timing (4)-#QuestionText, TimingPageSubmit#","Timing (5)-#QuestionText, TimingPageSubmit#",Bitte lesen Sie den untenstehenden Text und beantworten Sie die Frage.æ æ Maria ist eine Studenti...,Bitte lesen Sie den untenstehenden Text und beantworten Sie die Frage.æ Adam ist Kassierer in ein...,Please indicate your gender: ,How old are you?-years old,Did any of the scenarios seem familiar to you?,Which ones?,Please translate the following statement into GERMAN:æ æIs it appropriate for you to keep your pr...,What is your country of origin? ,What is your country of origin? -TEXT,What was the method of your English acquisition?,At what age did you begin learning English in a meaningful way? -years old,How many months have you spent in an English speaking country?-months,Please use the sliders to indicate how proficient you are at:-Speaking ENGLISH,Please use the sliders to indicate how proficient you are at:-Listening to ENGLISH,Please use the sliders to indicate how proficient you are at:-Reading ENGLISH,Please use the sliders to indicate how proficient you are at:-Writing ENGLISH,Please use the sliders to indicate how proficient you are at:-Speaking GERMAN,Please use the sliders to indicate how proficient you are at:-Listening to GERMAN,Please use the sliders to indicate how proficient you are at:-Reading GERMAN,Please use the sliders to indicate how proficient you are at:-Writing GERMAN,"In each of the following contexts, estimate what percent of the time you use English (%)-With your family","In each of the following contexts, estimate what percent of the time you use English (%)-With your friends","In each of the following contexts, estimate what percent of the time you use English (%)-When reading (books, newspapers, etc)","In each of the following contexts, estimate what percent of the time you use English (%)-When watching TV or listening to the radio","Finally, any questions, comments, or suggestions for this study?",Display Order: Block Randomizer FL_22,Display Order: Block Randomizer FL_15,"Display Order: Empathy - IRI (Davis, 1980)","Display Order: Need for cognition - REI (Epstein et al, 1996)",Display Order: Bitte lesen Sie den untenstehenden Text und beantworten Sie die Frage.æ Adam ist Kassierer in ein...,Display Order: Bitte lesen Sie den untenstehenden Text und beantworten Sie die Frage.æ æ Maria ist eine Studenti...,Display Order: Please read the text below and answer the question. Adam is a cashier at a mall. He is very good...,Display Order: Please read the text below and answer the question. Maria is a student at a university. She recei...,"Display Order: Using the scales, tell us how well each of the following statements describe you from 1 (does not...",Include
R_6fHLifTfHQBKnXv,Default Response Set,Anonymous,English,0,9/28/15 12:38,9/28/15 12:59,1,DE200110,,,1,,,,,1,,1,1,1,spanisch,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,1,2,1,1,1,2,1,2,2,2,28.729,32.697,34.017,2,13.43,13.43,14.96,1,14.66,14.66,15.947,1,27.063,27.063,30.486,1,18.945,18.945,20.176,1,42.034,42.034,43.009,1,25.339,25.339,27.666,1,31.762,34.45,34.85,2,42.373,42.373,44.333,1,20.568,20.568,22.223,1,28.521,30.674,30.985,3,25.777,25.777,27.08,1,60.847,60.847,63.101,1,28.547,28.547,31.572,1,14.042,14.042,17.786,1,35.739,35.739,37.426,1,22.979,22.979,27.499,1,16.316,16.316,17.658,1,19.419,19.419,21.306,1,12.623,12.623,13.974,1,4,2,4,3,3,2,3,2,1,4,4,4,1,1,1,1,1,4,29,No,2.25,5,40.047,18.121,39.628,35.464,53.21,,4,2,24,2,,Ist es fÙr dich angemessen deine vorherige Beziehung zu verheimlichen um ihn/sie glÙcklich und die Beziehung bestehen zu lassen?,2,,1,12,0,3,5,6,5,7,7,7,7,0,0,0,0,no,MariaEN,"Empathy - IRI (Davis, 1980)|CRT|Need for cognition - REI (Epstein et al, 1996)",IRI,Q29,1|4|3|2,,,4|3|1|2,3|5|2|4|7|1|6,Yes
R_9WTCB6JarGRVEEd,Default Response Set,Anonymous,English,0,9/28/15 13:40,9/28/15 13:57,1,DE200148,,,1,,,,,1,,1,1,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,1,2,14.982,14.982,17.474,1,9.19,9.19,11.099,1,12.954,12.954,13.742,1,15.868,15.868,16.826,1,14.033,14.033,14.9,1,4.148,5.131,6.344,2,6.957,6.957,7.777,1,28.465,29.784,31.02,2,5.521,6.872,7.316,2,11.064,42.975,43.749,3,28.334,28.334,29.076,1,10.546,10.546,11.527,1,2.972,2.972,3.921,1,37.327,37.327,38.069,1,10.857,10.857,11.654,1,6.738,6.738,7.518,1,5.102,5.102,5.794,1,6.525,6.525,7.226,1,16.504,16.504,19.701,1,13.946,15.425,17.037,2,4,3,3,2,5,3,2,4,4,4,3,3,1,1,1,1,1,4,30,Yes,2.25,infinite,52.014,44.09,14.297,123.587,50.344,,4,1,33,2,,,2,,1,14,0,4,5,5,4,7,7,7,7,0,11,24,29,,MariaEN,"Empathy - IRI (Davis, 1980)|CRT|Need for cognition - REI (Epstein et al, 1996)",IRI,Q29,1|2|4|3,,,2|3|1|4,4|2|5|3|6|7|1,No
R_cCSA4IEoU4AeijP,Default Response Set,Anonymous,English,0,9/28/15 13:35,9/28/15 14:13,1,DE200119,,,1,,,,,1,,1,1,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,1,2,1,1,1,2,2,2,2,2,32.691,32.691,34.071,1,45.322,45.322,47.269,1,41.475,41.475,43.546,1,41.987,41.987,45.318,1,51.203,51.203,52.804,1,33.714,33.714,36.677,1,84.389,84.389,86.309,1,161.587,161.587,163.372,1,61.835,61.835,62.925,1,106.265,139.083,142.094,6,13.689,13.689,44.034,1,44.242,44.242,51.466,1,34.099,34.099,35.919,1,62.017,62.017,63.494,1,21.26,21.26,22.678,1,68.965,68.965,70.04,1,33.537,33.537,38.634,1,42.193,42.193,44.25,1,36.194,36.194,37.594,1,21.272,21.272,22.439,1,3,2,4,3,3,2,5,2,2,3,4,4,1,1,1,1,1,4,n,Yes,n,3,65.026,23.827,52.592,137.777,40.068,4,,1,35,2,,"Ist es fÙr sie angemessen ihre vergangene Beziehung geheim zu halten, um er/sie glÙcklich zu machen und ihre Beziehung aufrecht zu erhalten?",2,,3,12,0,1,1,1,1,7,7,7,7,3,3,20,26,,AlexEN,"CRT|Empathy - IRI (Davis, 1980)|Need for cognition - REI (Epstein et al, 1996)",IRI,Q29,,3|2|1|4,2|4|1|3,,6|1|5|2|7|3|4,Yes
R_ebMn3iDZ7wJ9Ps9,Default Response Set,Anonymous,English,0,9/28/15 13:39,9/28/15 14:21,1,DE200141,,,1,,,,,1,,1,1,1,spanish,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,1,2,2,2,1,1,2,2,2,2,38.018,38.018,39.261,1,31.313,31.313,33.596,1,33.311,33.311,44.515,1,46.06,46.06,47.567,1,30.444,30.444,31.583,1,37.821,37.821,38.863,1,40.737,42.273,46.564,2,30.776,30.776,32.373,1,30.503,30.503,31.643,1,38.123,38.123,39.15,1,83.191,83.191,84.258,1,25.477,25.477,26.746,1,41.51,41.51,42.577,1,76.87,76.87,77.825,1,26.708,26.708,28.054,1,2.668,2.668,3.815,1,28.275,28.275,29.214,1,38.965,38.965,40.032,1,27.756,27.756,80.409,1,15.69,15.69,19.22,1,5,1,4,5,3,2,5,1,1,5,3,1,1,1,1,1,1,4,tricky question,No,2.25,I think it is necessary to know which concentration the tea has at the beginning and what its final concentration will be.,178.105,125.491,127.729,223.569,144.427,,4,2,20,2,,"Ist es fÙr dich angemessen deine vorherige Beziehung geheim zu halten, um sie/ihn glÙcklich zu machen und die Beziehung aufrecht zu erhalten?",2,,2,13,1,6,5,7,6,7,7,7,7,0,8,71,82,"Thanks for giving me the chance to take part of this study. For me, it was the most interesting until now because you had to think deeply about things.",MariaEN,"CRT|Empathy - IRI (Davis, 1980)|Need for cognition - REI (Epstein et al, 1996)",IRI,Q29,1|3|4|2,,,2|1|3|4,5|1|6|2|7|3|4,Yes
R_79DxS3k1PLIGx4p,Default Response Set,Anonymous,English,0,9/28/15 17:44,9/28/15 18:13,1,DE200183,,,1,,,,,1,,1,1,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,32.19,32.19,33.527,1,30.835,30.835,31.894,1,37.293,37.293,38.289,1,24.892,24.892,27.585,1,35.429,35.429,36.498,1,29.681,29.681,30.885,1,32.431,32.431,33.639,1,62.222,62.222,63.218,1,48.946,48.946,50.182,1,51.678,51.678,52.659,1,41.185,41.185,42.309,1,44.473,44.473,46.016,1,37.415,37.415,38.976,1,59.522,59.522,62.63,1,34.236,34.236,35.596,1,30.162,30.162,34.858,1,26.196,26.196,27.373,1,43.631,43.631,44.724,1,21.573,21.573,22.825,1,30.722,31.709,32.162,2,3,2,3,4,1,1,5,2,2,3,3,4,1,1,1,1,1,8,30,Yes,2.35,5,88.889,40.044,39.201,131.498,73.67,4,,2,33,2,,"Ist es richtig, dass du deine Beziehung geheim halten m_chtest, weil du sie/ihn glÙcklich machen willst und die Beziehung erhalten willst?",2,,1,10,0,5,5,5,5,7,7,7,7,0,30,30,62,,AlexEN,"Empathy - IRI (Davis, 1980)|CRT|Need for cognition - REI (Epstein et al, 1996)",IRI,Q29,,4|1|3|2,3|4|2|1,,4|1|2|3|6|5|7,Yes
R_a3qYS1WWJfOdIDH,Default Response Set,Anonymous,English,0,9/28/15 20:01,9/28/15 20:27,1,DE200198,,,1,,,,,1,,1,1,1,french,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,40.853,40.853,41.924,1,29.907,29.907,31.066,1,16.765,16.765,18.016,1,25.955,25.955,27.275,1,22.211,22.211,23.375,1,30.193,30.193,34.61,1,37.586,37.586,38.627,1,22.427,22.427,23.652,1,32.078,32.078,33.665,1,37.742,37.742,39.409,1,28.306,28.306,31.104,1,30.012,30.012,31.581,1,30.235,30.235,31.233,1,32.405,32.405,33.419,1,22.626,22.626,23.829,1,20.631,20.631,22.063,1,52.851,52.851,54.003,1,20.226,20.226,21.632,1,26.352,26.352,27.629,1,14.579,14.579,16.122,1,5,1,5,5,1,2,5,1,1,5,4,2,1,1,1,1,1,4,30,Yes,3.25,5,277.631,22.078,23.781,111.32,26.962,4,,2,49,2,,Ist es fÙr Sie richtig Ihre frÙhere Beziehung geheim zu halten damit sie / er glÙcklich bleibt und die Beziehung weiter besteht ?,2,,1,11,0,6,5,6,6,7,7,7,7,7,22,30,9,no,AlexEN,"Need for cognition - REI (Epstein et al, 1996)|Empathy - IRI (Davis, 1980)|CRT",IRI,Q29,,1|4|2|3,2|3|1|4,,4|1|2|7|6|5|3,Yes
R_8vwdjsFp53rKp5H,Default Response Set,Anonymous,English,0,9/28/15 20:05,9/28/15 21:01,1,DE200200,,,1,,,,,1,,1,1,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,1,2,1,2,2,2,35.807,35.807,37.355,1,32.784,32.784,38.942,1,33.601,33.601,35.308,1,45.91,47.194,48.82,2,23.359,23.359,25.493,1,60.778,60.778,62.74,1,74.292,74.292,76.299,1,74.116,74.116,75.944,1,59.896,59.896,64.709,1,45.777,46.995,48.826,2,40.413,40.413,42.221,1,48.989,48.989,50.879,1,40.917,40.917,43.512,1,63.592,63.592,65.575,1,42.013,42.013,46.148,1,32.672,32.672,37.402,1,20.136,20.136,23.211,1,58.254,58.254,61.248,1,39.314,39.314,42.462,1,33.445,33.445,35.538,1,5,1,4,4,3,2,4,2,1,4,4,2,1,1,1,1,1,One can't tell. as we don't know what their drinking pattern is. But no longer than 6 .,29,No,2.25,5,393.006,166.991,60.537,802.785,286.177,4,,2,32,2,,"Ist es angemessen fÙr dich, deine vorherige Beziehung geheim zu halten, um  sie/ihn bei Laune und die Beziehung am Leben zu halten?",2,,2,10,20,5,6,5,5,7,7,7,7,0,55,66,77,,AlexEN,"Empathy - IRI (Davis, 1980)|Need for cognition - REI (Epstein et al, 1996)|CRT",IRI,Q29,,4|3|1|2,4|1|3|2,,1|2|7|4|6|3|5,Yes
R_8pM9wY4gfJN9Hs9,Default Response Set,Anonymous,English,0,9/28/15 19:51,9/28/15 21:16,1,DE200194,,,1,,,,,1,,,1,1,Portuguese,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,68.555,68.555,69.508,1,30.912,30.912,31.699,1,58.314,58.314,59.435,1,21.337,21.337,44.553,1,50.242,50.242,57.027,1,11.269,11.269,12.455,1,82.121,82.121,83.033,1,7.559,7.559,8.416,1,70.608,70.608,71.626,1,15.89,15.89,16.875,1,126.649,126.649,330.809,1,1.516,1.516,2.478,1,49.725,49.725,50.742,1,111.822,111.822,112.896,1,5.464,5.464,7.297,1,46.141,46.141,64.384,1,22.654,22.654,23.631,1,20.824,20.824,21.681,1,125.783,125.783,126.792,1,30.066,30.066,30.944,1,5,1,4,5,1,1,5,1,1,5,5,1,1,1,1,1,1,4,29,No,2.25,5,408.355,190.243,41.831,155.934,48.184,,4,1,53,2,,"Ist es fÙr Sie annehmbar, Ihre frÙhere Beziehung zu verschweigen, um ihr/sein GlÙck zu bewahren und die Beziehung aufrecht zu erhalten.",2,,2,5,80,7,7,7,7,7,7,7,7,0,13,21,22,"No, thanks for asking!",MariaEN,"CRT|Need for cognition - REI (Epstein et al, 1996)|Empathy - IRI (Davis, 1980)",IRI,Q29,1|4|2|3,,,4|1|2|3,5|6|7|2|4|3|1,Yes
R_00AVa5gitEQ1S0l,Default Response Set,Anonymous,English,0,9/29/15 12:02,9/29/15 12:37,1,DE200219,,,1,,,,,1,,1,1,1,French,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,16.019,16.019,17.48,1,29.764,31.087,31.79,2,17.196,17.196,18.471,1,82.499,82.499,87.639,1,3.101,120.75,122.379,2,38.562,38.562,43.247,1,18.445,20.276,21.737,5,49.751,353.608,357.402,2,22.848,22.848,24.054,1,33.333,33.333,35.979,1,90.855,90.855,92.33,1,30.644,30.644,31.955,1,19.353,19.353,20.567,1,47.172,47.172,48.804,1,20.338,20.338,22.119,1,113.296,113.296,114.789,1,17.127,17.127,19.297,1,33.765,33.765,41.04,1,17.658,17.658,19.912,1,21.557,21.557,22.842,1,4,2,3,4,3,2,5,2,2,4,3,3,1,1,1,1,1,8,29,Yes,2.25,5,61.256,33.322,40.02,24.181,70.494,4,,1,24,2,,Ist es fÙr Sie angemessen die vorherige Beziehung geheim zu halten um Sie glÙcklich zu stellen und die Beziehung aufrecht zu erhalten?,3,Luxembourg,1,13,0,5,6,6,6,7,7,7,7,0,18,11,55,,AlexEN,"Empathy - IRI (Davis, 1980)|CRT|Need for cognition - REI (Epstein et al, 1996)",IRI,Q29,,3|1|4|2,2|1|4|3,,4|2|6|5|3|1|7,Yes
R_dpbujTXA1makTVX,Default Response Set,Anonymous,English,0,9/29/15 12:02,9/29/15 12:41,1,DE200206,,,1,,,,,1,,1,1,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1,2,1,1,2,2,2,1,2,55.553,55.553,57.01,1,16.326,17.574,17.88,3,29.918,29.918,30.995,1,17.129,17.129,18.792,1,29.183,29.589,30.778,2,22.802,22.802,23.921,1,38.07,44.46,45.589,2,2.596,12.798,14.009,2,12.566,13.539,13.904,2,29.62,29.62,30.538,1,50.872,50.872,52.571,1,53.154,53.154,62.09,1,50.07,50.07,51.559,1,55.665,55.665,56.629,1,19.509,19.509,20.571,1,49.318,49.318,50.401,1,5.885,7.043,7.533,2,9.471,9.471,11.726,1,22.295,22.295,23.425,1,46.993,46.993,47.798,1,5,1,5,3,1,4,5,3,1,4,5,4,1,1,1,1,1,9,30,Yes,1.75,3,242.882,353.288,66.408,54.266,17.524,,4,1,36,1,cant get it?,"ist es fÙr dich n_tig, deine vorherige beziehung geheim zu halten um sie/ihn glÙcklich zu machen und die beziehung zu retten.",2,,3,16,12,6,5,6,5,7,7,7,7,9,81,40,39,no thanks,MariaEN,"Empathy - IRI (Davis, 1980)|CRT|Need for cognition - REI (Epstein et al, 1996)",IRI,Q29,4|1|3|2,,,2|4|1|3,4|6|2|5|1|7|3,Yes
