id,cond,gender,l1_proficiency,l2_proficiency,dv0,dv1,IRI,NFC,CRT,U,D
1,L1,1,7,3.75,.80000001,.1,3.4285715,4,5,.69999999,.33333331
2,L1,2,7,6,.89999998,.80000001,3.1428571,4,3,.099999964,.8888889
3,L1,1,6.75,6,.89999998,.5,3.2857144,4,5,.39999998,.83333331
4,L1,1,7,6.5,.5,.1,2.7142856,3.5999999,4,.40000001,.16666667
5,L1,2,7,5.25,.80000001,.30000001,4.5714288,4.1999998,3,.5,.60000002
6,L1,2,7,4,.69999999,.5,4.1428571,3.5999999,1,.19999999,.625
7,L1,1,7,6,.60000002,.30000001,5,4.8000002,4,.30000001,.42857146
8,L1,1,7,5,.60000002,.5,3.7142856,3.8,2,.10000002,.55555558
9,L1,2,6.5,6,.60000002,.1,2.7142856,2,4,.5,.2
10,L1,2,7,5.75,.89999998,.40000001,4.4285712,5,3,.49999997,.79999995
11,L1,2,6.5,6.5,.5,.60000002,3.2857144,4.1999998,1,-.10000002,.54545456
12,L1,2,7,6,.89999998,.40000001,3.4285715,3.8,5,.49999997,.79999995
13,L1,2,7,5.5,.80000001,.5,4.4285712,3.4000001,4,.30000001,.71428573
14,L1,2,7,6.5,.60000002,.1,4.2857141,3,2,.5,.2
15,L1,1,7,5.25,.80000001,.60000002,3.5714285,4.8000002,4,.19999999,.75
16,L1,2,7,6,.5,.2,3.7142856,3.2,2,.30000001,.2857143
17,L1,1,7,6.5,.89999998,.40000001,4,3.4000001,4,.49999997,.79999995
18,L1,2,7,5.75,.77777779,.5,4.5714288,3.2,5,.27777779,.69230771
19,L1,2,4.5,2.5,.69999999,.40000001,2.7142856,4.5999999,3,.29999998,.57142854
20,L1,2,7,4.75,.69999999,.40000001,4.7142859,4,1,.29999998,.57142854
21,L1,1,6.25,6,.60000002,.5,3.8571429,3.2,1,.10000002,.55555558
22,L1,2,7,6.25,.89999998,.40000001,4.5714288,4.5999999,5,.49999997,.79999995
23,L1,2,7,5.5,.69999999,.40000001,4.8571429,4.5999999,3,.29999998,.57142854
24,L1,2,7,5.25,.89999998,.69999999,4.8571429,4,4,.19999999,.875
25,L1,1,7,5.5,.89999998,.1,3.7142856,3,5,.79999995,.49999988
26,L1,1,7,6.75,.69999999,.2,4.8571429,3.2,3,.5,.40000001
27,L1,1,7,3.5,.80000001,.2,3.5714285,2.8,5,.60000002,.50000006
28,L1,2,6.75,4.5,.89999998,.60000002,3.4285715,3.5999999,3,.29999995,.85714281
29,L1,2,7,4.75,.80000001,.40000001,3.8571429,4,2,.40000001,.66666669
30,L1,1,7,5.75,.89999998,.2,4.1428571,3.4000001,2,.69999999,.66666663
31,L1,2,7,6.75,.89999998,.5,4.8571429,4.8000002,2,.39999998,.83333331
32,L1,2,7,4.75,.80000001,.60000002,4.5714288,3.5999999,2,.19999999,.75
33,L1,1,7,5.5,.80000001,.30000001,4.5714288,3.8,4,.5,.60000002
34,L1,1,7,6.25,.80000001,.5,5,4.1999998,5,.30000001,.71428573
35,L1,2,7,6,.69999999,.30000001,4.2857141,3.4000001,2,.39999998,.5
36,L1,1,7,5,.89999998,.5,3.7142856,4.1999998,5,.39999998,.83333331
37,L1,2,7,5.75,.80000001,.30000001,3.4285715,4.4000001,4,.5,.60000002
38,L1,2,7,5.5,.69999999,.69999999,3.5714285,3.4000001,1,0,.69999999
39,L1,2,7,4.75,.80000001,.69999999,5,3.4000001,1,.10000002,.77777779
40,L1,1,7,5.75,.89999998,.5,4.1428571,4.1999998,4,.39999998,.83333331
41,L1,2,7,2.25,.60000002,.30000001,3.1428571,3,4,.30000001,.42857146
42,L1,2,7,5,.89999998,.60000002,4.2857141,4.8000002,4,.29999995,.85714281
43,L1,2,7,6,.89999998,.40000001,4.5714288,4.8000002,4,.49999997,.79999995
44,L1,1,7,6,.89999998,.30000001,4,5,5,.59999996,.74999994
45,L1,2,7,5.25,.89999998,.60000002,3.7142856,5,3,.29999995,.85714281
46,L1,2,7,5.25,1,.5,4.1428571,3.8,4,.5,1
47,L1,1,7,4.5,.60000002,.5,4.1428571,3.2,3,.10000002,.55555558
48,L1,2,7,4.75,.89999998,.30000001,4.2857141,3.8,3,.59999996,.74999994
49,L1,2,7,5.5,.69999999,.60000002,4.4285712,4.1999998,2,.099999964,.66666669
50,L1,1,7,6,.80000001,.5,3.4285715,5,5,.30000001,.71428573
51,L1,1,7,5.75,1,.40000001,4.7142859,3.2,5,.60000002,1.0000001
52,L1,2,7,5,.80000001,.40000001,4.1428571,3,2,.40000001,.66666669
53,L1,2,7,5.75,.89999998,.5,4.1428571,2.2,0,.39999998,.83333331
54,L1,2,7,5.75,.80000001,.40000001,4.7142859,3.8,3,.40000001,.66666669
55,L1,2,7,4.25,.69999999,.2,4.2857141,3,4,.5,.40000001
56,L1,2,7,5.25,.60000002,.40000001,4.5714288,4.1999998,1,.20000002,.5
57,L1,2,7,3.5,.89999998,.5,3.4285715,3.5999999,2,.39999998,.83333331
58,L1,2,6.75,5.25,.80000001,.40000001,3.8571429,2.8,5,.40000001,.66666669
59,L1,2,7,4.75,.89999998,.40000001,4.2857141,3.4000001,3,.49999997,.79999995
60,L1,2,7,6,.80000001,.60000002,3.5714285,3.4000001,2,.19999999,.75
61,L1,2,7,4,.80000001,.40000001,3.1428571,4.4000001,4,.40000001,.66666669
62,L1,1,7,6.25,.80000001,.40000001,3.2857144,3.8,3,.40000001,.66666669
63,L1,2,7,5.75,.80000001,.2,4.8571429,3.8,4,.60000002,.50000006
64,L1,2,7,5,.69999999,.69999999,2.4285715,3.5999999,1,0,.69999999
65,L1,2,7,5.75,.69999999,.1,5,3.5999999,0,.59999996,.24999999
66,L1,2,7,5,.89999998,.60000002,4.8571429,4,2,.29999995,.85714281
67,L1,2,7,5.25,.80000001,.40000001,4.1428571,3.8,3,.40000001,.66666669
68,L1,2,7,5.25,.80000001,.1,3.4285715,4.8000002,5,.69999999,.33333331
69,L1,2,7,4.75,.80000001,.30000001,4.4285712,4,1,.5,.60000002
70,L1,2,7,5.5,.69999999,.40000001,2.2857144,3.5999999,5,.29999998,.57142854
71,L1,2,7,6.5,.69999999,.5,4.5714288,4.5999999,1,.19999999,.625
72,L1,2,7,5.5,.80000001,.30000001,4.5714288,4.4000001,2,.5,.60000002
73,L1,2,7,6.25,1,.40000001,4.2857141,3.8,5,.60000002,1.0000001
74,L1,2,7,5.25,.89999998,.60000002,4.1428571,5,3,.29999995,.85714281
75,L1,2,7,6.5,.80000001,.5,4,4,1,.30000001,.71428573
76,L1,2,7,6.5,.69999999,.2,4.8571429,4,4,.5,.40000001
77,L1,2,6.5,5.25,.80000001,.60000002,3.5714285,4,1,.19999999,.75
78,L1,2,7,6.25,.80000001,.60000002,3,3.5999999,2,.19999999,.75
79,L1,2,7,7,.80000001,.69999999,4.8571429,5,5,.10000002,.77777779
80,L1,1,6.5,3,.89999998,.1,3.4285715,2.8,1,.79999995,.49999988
81,L1,2,6.75,5,.60000002,.30000001,4.4285712,3.5999999,4,.30000001,.42857146
82,L1,2,7,4.75,.8888889,.5,3.1428571,3.8,5,.3888889,.81818181
83,L1,2,7,5.25,.89999998,.69999999,3.4285715,4.4000001,5,.19999999,.875
84,L1,2,7,5.25,1,.5,4.7142859,4.5999999,2,.5,1
85,L1,1,6.75,5,.69999999,.40000001,3.5714285,3.8,3,.29999998,.57142854
86,L1,2,7,5.25,.89999998,.5,4.8571429,4.5999999,3,.39999998,.83333331
87,L1,2,7,5.5,.89999998,.40000001,2.7142856,2.2,4,.49999997,.79999995
88,L1,2,7,5,.89999998,.30000001,3.5714285,3.8,4,.59999996,.74999994
89,L1,2,7,5,.69999999,.40000001,3.8571429,4,4,.29999998,.57142854
90,L1,2,7,5.5,.80000001,.5,3.8571429,4,3,.30000001,.71428573
91,L1,2,6.75,3.5,1,.60000002,4.1428571,4,3,.39999998,1
92,L1,2,7,5.5,1,.55555558,5,3.2,1,.44444442,1
93,L1,2,7,5.75,.80000001,.30000001,4.2857141,5,4,.5,.60000002
94,L1,2,7,5.5,.89999998,.5,4.4285712,3.5999999,5,.39999998,.83333331
95,L1,2,5.75,4.25,.80000001,.69999999,3.5714285,3.5999999,2,.10000002,.77777779
96,L1,1,6,6,.69999999,.5,3.5714285,3,1,.19999999,.625
97,L1,1,7,4.75,.80000001,.30000001,3.2857144,4.8000002,5,.5,.60000002
98,L1,2,7,5.75,.5,.30000001,3.5714285,3.8,1,.19999999,.375
99,L1,2,7,4.5,1,.30000001,3.8571429,3.5999999,0,.69999999,1
100,L1,2,7,4.5,.80000001,.60000002,3.2857144,4.4000001,4,.19999999,.75
101,L1,2,6.75,4.5,.89999998,.40000001,4,3.8,2,.49999997,.79999995
102,L1,2,7,5.25,.60000002,.30000001,3.5714285,2.4000001,1,.30000001,.42857146
103,L1,1,7,5.25,1,.66666669,4,3.4000001,4,.33333331,1
104,L1,2,7,5.75,.89999998,.5,3.4285715,4.4000001,2,.39999998,.83333331
105,L1,2,7,6,.69999999,.40000001,4.2857141,4.8000002,3,.29999998,.57142854
106,L1,2,7,7,1,1,4.7142859,4.4000001,1,0,1
107,L1,1,7,5,.69999999,.40000001,3.2857144,3.2,4,.29999998,.57142854
108,L1,2,7,4,1,.69999999,4.4285712,4,4,.30000001,1
109,L1,2,7,4.5,.60000002,.5,3.7142856,2.4000001,5,.10000002,.55555558
110,L1,2,7,5,.80000001,.60000002,4.2857141,3.8,1,.19999999,.75
111,L1,1,7,5.5,.69999999,.40000001,3.4285715,5,5,.29999998,.57142854
112,L1,1,7,5,.60000002,.5,3,5,3,.10000002,.55555558
113,L1,1,6.5,6.25,.55555558,.33333334,3.4285715,4.1999998,4,.22222224,.42857146
