V1,V2,V3,V5,V7,V8,V9,V10,gc,term,Attn_MariaAdam,Native_1,Native_2,Native_3,Native_3_TEXT,Speak_1,Speak_2,Speak_3,Speak_4,Speak_5,Speak_5_TEXT,Home,MariaEN,AlexEN,Consent,Intro,ScenN1,ScenN2,ScenN3,ScenN4,ScenN5,ScenN6,ScenN7,ScenN8,ScenN9,ScenN10,ScenN11,ScenN12,ScenN13,ScenN14,ScenN15,ScenN16,ScenN17,ScenN18,ScenN19,ScenN20,Scenario1,Scenario2,Scenario3,Scenario4,Scenario5,Scenario6,Scenario7,Scenario8,Scenario9,Scenario10,Scenario11,Scenario12,Scenario13,Scenario14,Scenario15,Scenario16,Scenario17,Scenario18,Scenario19,Scenario20,dv1,dv2,dv3,dv4,dv5,dv6,dv7,dv8,dv9,dv10,dv11,dv12,dv13,dv14,dv15,dv16,dv17,dv18,dv19,dv20,SubmitTime1,SubmitTime2,SubmitTime3,SubmitTime4,SubmitTime5,SubmitTime6,SubmitTime7,SubmitTime8,SubmitTime9,SubmitTime10,SubmitTime11,SubmitTime12,SubmitTime13,SubmitTime14,SubmitTime15,SubmitTime16,SubmitTime17,SubmitTime18,SubmitTime19,SubmitTime20,time_11,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_12,time_120,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_21,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_22,time_220,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_41,time_410,time_411,time_412,time_413,time_414,time_415,time_416,time_417,time_418,time_419,time_42,time_420,time_43,time_44,time_45,time_46,time_47,time_48,time_49,IRI_1,IRI_2,IRI_3,IRI_4,IRI_5,IRI_6,IRI_7,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,questioCRT1,questioCRT2,questioCRT3,questioCRT4,questioCRT5,answerCRT1,answerCRT2,answerCRT3,answerCRT4,answerCRT5,v191,v192,v193,v194,v195,timeCRT_11,timeCRT_12,timeCRT_13,timeCRT_14,timeCRT_15,timeCRT_21,timeCRT_22,timeCRT_23,timeCRT_24,timeCRT_25,timeCRT_41,timeCRT_42,timeCRT_43,timeCRT_44,timeCRT_45,Q42,Q44,gender,age_1,familiar,familiar2,Q36,Q47,Q47_TEXT,Q49,Q51_1,Q53_1,Q55_1,Q55_2,Q55_3,Q55_4,Q55_5,Q55_6,Q55_7,Q55_8,Q57_1,Q57_2,Q57_3,Q57_4,comments,Include,cond
ResponseID,ResponseSet,Name,EmailAddress,Status,StartDate,EndDate,Finished,gc,term,Attn_MariaAdam,What is your native language?-English,What is your native language?-Spanish,What is your native language?-Other (please specify):,What is your native language?-Other (please specify):-TEXT,Select the languages you speak. -English,Select the languages you speak. -Spanish,Select the languages you speak. -French,Select the languages you speak. -Japanese,Select the languages you speak. -Other,Select the languages you speak. -Other-TEXT,"Growing up, did you use Spanish at home?",Please read the text below and answer the question. Maria is a student at a university. She recei...,Please read the text below and answer the question. Adam is a cashier at a mall. He is very good...,Agreement to Participate in Research You are invited to participate in a research study.Ê Duratio...,"For this study, you will readÊ20 moral dilemmas and then answer some other questions. For each di...",Scenario: ${lm://CurrentLoopNumber} of 20 (1),Scenario: ${lm://CurrentLoopNumber} of 20 (2),Scenario: ${lm://CurrentLoopNumber} of 20 (3),Scenario: ${lm://CurrentLoopNumber} of 20 (4),Scenario: ${lm://CurrentLoopNumber} of 20 (5),Scenario: ${lm://CurrentLoopNumber} of 20 (6),Scenario: ${lm://CurrentLoopNumber} of 20 (7),Scenario: ${lm://CurrentLoopNumber} of 20 (8),Scenario: ${lm://CurrentLoopNumber} of 20 (9),Scenario: ${lm://CurrentLoopNumber} of 20 (10),Scenario: ${lm://CurrentLoopNumber} of 20 (11),Scenario: ${lm://CurrentLoopNumber} of 20 (12),Scenario: ${lm://CurrentLoopNumber} of 20 (13),Scenario: ${lm://CurrentLoopNumber} of 20 (14),Scenario: ${lm://CurrentLoopNumber} of 20 (15),Scenario: ${lm://CurrentLoopNumber} of 20 (16),Scenario: ${lm://CurrentLoopNumber} of 20 (17),Scenario: ${lm://CurrentLoopNumber} of 20 (18),Scenario: ${lm://CurrentLoopNumber} of 20 (19),Scenario: ${lm://CurrentLoopNumber} of 20 (20),Imagine the following: ${lm://Field/3} (1),Imagine the following: ${lm://Field/3} (2),Imagine the following: ${lm://Field/3} (3),Imagine the following: ${lm://Field/3} (4),Imagine the following: ${lm://Field/3} (5),Imagine the following: ${lm://Field/3} (6),Imagine the following: ${lm://Field/3} (7),Imagine the following: ${lm://Field/3} (8),Imagine the following: ${lm://Field/3} (9),Imagine the following: ${lm://Field/3} (10),Imagine the following: ${lm://Field/3} (11),Imagine the following: ${lm://Field/3} (12),Imagine the following: ${lm://Field/3} (13),Imagine the following: ${lm://Field/3} (14),Imagine the following: ${lm://Field/3} (15),Imagine the following: ${lm://Field/3} (16),Imagine the following: ${lm://Field/3} (17),Imagine the following: ${lm://Field/3} (18),Imagine the following: ${lm://Field/3} (19),Imagine the following: ${lm://Field/3} (20),${lm://Field/4} (1),${lm://Field/4} (2),${lm://Field/4} (3),${lm://Field/4} (4),${lm://Field/4} (5),${lm://Field/4} (6),${lm://Field/4} (7),${lm://Field/4} (8),${lm://Field/4} (9),${lm://Field/4} (10),${lm://Field/4} (11),${lm://Field/4} (12),${lm://Field/4} (13),${lm://Field/4} (14),${lm://Field/4} (15),${lm://Field/4} (16),${lm://Field/4} (17),${lm://Field/4} (18),${lm://Field/4} (19),${lm://Field/4} (20),"Timing (1)-#QuestionText, TimingPageSubmit#","Timing (2)-#QuestionText, TimingPageSubmit#","Timing (3)-#QuestionText, TimingPageSubmit#","Timing (4)-#QuestionText, TimingPageSubmit#","Timing (5)-#QuestionText, TimingPageSubmit#","Timing (6)-#QuestionText, TimingPageSubmit#","Timing (7)-#QuestionText, TimingPageSubmit#","Timing (8)-#QuestionText, TimingPageSubmit#","Timing (9)-#QuestionText, TimingPageSubmit#","Timing (10)-#QuestionText, TimingPageSubmit#","Timing (11)-#QuestionText, TimingPageSubmit#","Timing (12)-#QuestionText, TimingPageSubmit#","Timing (13)-#QuestionText, TimingPageSubmit#","Timing (14)-#QuestionText, TimingPageSubmit#","Timing (15)-#QuestionText, TimingPageSubmit#","Timing (16)-#QuestionText, TimingPageSubmit#","Timing (17)-#QuestionText, TimingPageSubmit#","Timing (18)-#QuestionText, TimingPageSubmit#","Timing (19)-#QuestionText, TimingPageSubmit#","Timing (20)-#QuestionText, TimingPageSubmit#",Timing (1)-First Click,Timing (10)-First Click,Timing (11)-First Click,Timing (12)-First Click,Timing (13)-First Click,Timing (14)-First Click,Timing (15)-First Click,Timing (16)-First Click,Timing (17)-First Click,Timing (18)-First Click,Timing (19)-First Click,Timing (2)-First Click,Timing (20)-First Click,Timing (3)-First Click,Timing (4)-First Click,Timing (5)-First Click,Timing (6)-First Click,Timing (7)-First Click,Timing (8)-First Click,Timing (9)-First Click,Timing (1)-Last Click,Timing (10)-Last Click,Timing (11)-Last Click,Timing (12)-Last Click,Timing (13)-Last Click,Timing (14)-Last Click,Timing (15)-Last Click,Timing (16)-Last Click,Timing (17)-Last Click,Timing (18)-Last Click,Timing (19)-Last Click,Timing (2)-Last Click,Timing (20)-Last Click,Timing (3)-Last Click,Timing (4)-Last Click,Timing (5)-Last Click,Timing (6)-Last Click,Timing (7)-Last Click,Timing (8)-Last Click,Timing (9)-Last Click,"Timing (1)-#QuestionText, TimingClickCount#","Timing (10)-#QuestionText, TimingClickCount#","Timing (11)-#QuestionText, TimingClickCount#","Timing (12)-#QuestionText, TimingClickCount#","Timing (13)-#QuestionText, TimingClickCount#","Timing (14)-#QuestionText, TimingClickCount#","Timing (15)-#QuestionText, TimingClickCount#","Timing (16)-#QuestionText, TimingClickCount#","Timing (17)-#QuestionText, TimingClickCount#","Timing (18)-#QuestionText, TimingClickCount#","Timing (19)-#QuestionText, TimingClickCount#","Timing (2)-#QuestionText, TimingClickCount#","Timing (20)-#QuestionText, TimingClickCount#","Timing (3)-#QuestionText, TimingClickCount#","Timing (4)-#QuestionText, TimingClickCount#","Timing (5)-#QuestionText, TimingClickCount#","Timing (6)-#QuestionText, TimingClickCount#","Timing (7)-#QuestionText, TimingClickCount#","Timing (8)-#QuestionText, TimingClickCount#","Timing (9)-#QuestionText, TimingClickCount#","Using the scales, tell us how well each of the following statements describe you from 1 (does not...-When I see someone being taken advantage of, I feel kind of protective toward them","Using the scales, tell us how well each of the following statements describe you from 1 (does not...-When I see someone being treated unfairly, I sometimes don't feel very much pity for them.","Using the scales, tell us how well each of the following statements describe you from 1 (does not...-I often have tender, concerned feelings for people less fortunate than me.","Using the scales, tell us how well each of the following statements describe you from 1 (does not...-I would describe myself as a pretty soft-hearted person.","Using the scales, tell us how well each of the following statements describe you from 1 (does not...-Sometimes I don't feel sorry for other people when they are having problems.","Using the scales, tell us how well each of the following statements describe you from 1 (does not...-Other people's misfortunes do not usually disturb me a great deal.","Using the scales, tell us how well each of the following statements describe you from 1 (does not...-I am often quite touched by things that I see happen.","Using the scales, tell us how true each of the following statements are from 1 (completely false)...-I don't like to have to do a lot of thinking.","Using the scales, tell us how true each of the following statements are from 1 (completely false)...-I try to avoid situations that require thinking in depth about something.","Using the scales, tell us how true each of the following statements are from 1 (completely false)...-I prefer to do something that challenges my thinking abilities rather than something that requires little thought.","Using the scales, tell us how true each of the following statements are from 1 (completely false)...-I prefer complex to simple problems.","Using the scales, tell us how true each of the following statements are from 1 (completely false)...-Thinking hard and for a long time about something gives me little satisfaction.",Please answer the following question. (1),Please answer the following question. (2),Please answer the following question. (3),Please answer the following question. (4),Please answer the following question. (5),${lm:  Field 2} (1),${lm://Field/2} (2),${lm:  Field 2} (3), {lm://Field/2} (4),${lm:  Field 2} (5),"Timing (1)-#QuestionText, TimingPageSubmit#","Timing (2)-#QuestionText, TimingPageSubmit#","Timing (3)-#QuestionText, TimingPageSubmit#","Timing (4)-#QuestionText, TimingPageSubmit#","Timing (5)-#QuestionText, TimingPageSubmit#",Timing (1)-First Click,Timing (2)-First Click,Timing (3)-First Click,Timing (4)-First Click,Timing (5)-First Click,Timing (1)-Last Click,Timing (2)-Last Click,Timing (3)-Last Click,Timing (4)-Last Click,Timing (5)-Last Click,"Timing (1)-#QuestionText, TimingClickCount#","Timing (2)-#QuestionText, TimingClickCount#","Timing (3)-#QuestionText, TimingClickCount#","Timing (4)-#QuestionText, TimingClickCount#","Timing (5)-#QuestionText, TimingClickCount#",Por favor lee el texto abajo y responde a la pregunta. Mara es estudiante universitaria. Tiene a...,Por favor lee el texto abajo y responde a la pregunta. Alex es cajero en un centro comercial. Se...,Please indicate your gender: ,How old are you?-years old,Did any of the scenarios seem familiar to you?,Which ones?,Please translate the following statement into SPANISH:Ê ÊIs it appropriate for you to keep your p...,What is your country of origin? ,What is your country of origin? -TEXT,What was the method of your Spanish acquisition?,At what age did you begin learning Spanish in a meaningful way? -years old,How many months have you spent in an Spanish speaking country?-months,Please use the sliders to indicate how proficient you are at:-Speaking SPANISH,Please use the sliders to indicate how proficient you are at:-Listening to SPANISH,Please use the sliders to indicate how proficient you are at:-Reading SPANISH,Please use the sliders to indicate how proficient you are at:-Writing SPANISH,Please use the sliders to indicate how proficient you are at:-Speaking ENGLISH,Please use the sliders to indicate how proficient you are at:-Listening to ENGLISH,Please use the sliders to indicate how proficient you are at:-Reading ENGLISH,Please use the sliders to indicate how proficient you are at:-Writing ENGLISH,"In each of the following contexts, estimate what percent of the time you use Spanish(%)-With your family","In each of the following contexts, estimate what percent of the time you use Spanish(%)-With your friends","In each of the following contexts, estimate what percent of the time you use Spanish(%)-When reading (books, newspapers, etc)","In each of the following contexts, estimate what percent of the time you use Spanish(%)-When watching TV or listening to the radio","Finally, any questions, comments, or suggestions for this study?",Include,cond
R_b96nBhvdgn0hAfr,Default Response Set,Anonymous,0,0,10/21/15 17:13,10/21/15 17:35,1,,,,1,,,,1,1,,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,2,1,1,1,2,1,2,1,1,1,2,29.513,44.162,23.984,27.081,27.226,25.884,23.784,52.87,43.223,20.338,29.399,18.938,39.21,34.984,31.964,26.788,23.887,29.206,70.659,13.006,28.464,18.871,25.061,17.216,37.651,32.468,29.673,25.48,22.75,28.008,59.39,41.027,11.674,22.456,25.095,25.888,23.875,21.733,51.344,41.942,28.464,18.871,25.061,17.216,37.651,33.321,29.673,25.48,22.75,28.008,59.39,41.027,11.674,22.456,25.095,25.888,23.875,21.733,51.344,41.942,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,3,3,4,2,2,1,1,4,2,2,1,1,1,1,1,4,29,No,2.25,5,29.612,31.334,14.282,41.4,27.433,4.475,1.105,0.685,2.729,0.684,4.475,30.54,0.685,2.729,0.684,1,2,1,1,1,,4,1,20,2,,ÀEs apropiado para usted esconder su relacin previa para mantener la felicidad de ella/l y la existencia de la relacin? ,1,,1,11,0,3,4,4,4,7,7,7,7,0,0,0,0,,Yes,0
R_8hM4PJ8uUch0GK9,Default Response Set,Anonymous,0,0,10/21/15 17:18,10/21/15 17:43,1,,,,1,,,,1,1,,,1,Portuguese (not well),2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,30.409,13.947,14.748,25.759,19.98,11.854,26.064,20.786,28.39,11.145,11.809,9.934,22.171,11.008,30.371,18.919,17.608,16.685,9.855,7.718,28.719,10.251,10.311,7.847,20.442,9.586,29.242,16.976,16.222,15.05,8.683,12.285,6.602,11.998,24.228,18.214,10.516,24.456,18.683,26.867,28.719,10.251,10.311,7.847,20.442,9.586,29.242,16.976,16.222,15.05,8.683,12.285,6.602,11.998,24.228,18.214,10.516,24.456,18.683,26.867,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,2,1,2,3,4,1,1,5,4,5,1,1,1,1,1,1,30,No,2.25,5,25.359,10.149,18.635,130.966,573.178,21.761,0.885,9.554,28.149,499.883,21.761,0.885,9.554,31.635,499.883,1,1,1,3,1,4,,2,19,1,The one about financial aid. ,ÀEs apropiado guardar el secreto de su relacin pasada para que se quede su amante contento y la relacin viva? ,1,,2,7,0.75,7,6,5,6,7,7,7,7,10,34,22,39,,Yes,0
R_eqD4hpti9ds7cRT,Default Response Set,Anonymous,0,0,10/21/15 17:30,10/21/15 17:50,1,,,,1,,,,1,1,1,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,1,1,2,2,1,2,1,2,2,2,28.293,11.799,31.22,32.543,18.418,13.198,14.665,18.427,12.475,18.159,15.875,14.308,13.804,27.675,17.881,13.711,31.269,20.583,25.411,18.567,16.935,16.427,14.92,13.044,12.613,25.914,16.72,12.545,29.532,2.352,9.525,9.718,4.908,26.965,30.908,14.344,12.017,12.794,16.398,10.973,25.624,16.427,14.92,13.044,12.613,25.914,16.72,12.545,29.532,11.805,23.892,10.326,14.878,26.965,30.908,14.344,12.017,12.794,16.398,10.973,2,1,1,1,1,1,1,1,1,4,4,2,4,1,1,1,1,1,1,1,4,2,2,3,4,2,4,3,2,5,4,2,1,1,1,1,1,4,29,No ,2.25,5,21.495,13.728,7.937,31.92,21.013,9.312,3.693,3.794,7.874,1.276,9.312,3.693,3.794,24.073,1.276,1,1,1,2,1,,4,1,22,1,Bomber/torture scenario and checkpoint scenario.,ÀEs apropriado esconder una relacin previa para mantenerle feliz y preservar tu relacin actual?,1,,2,13,2,6,6,7,5,7,6,7,7,2,10,20,30,,Yes,0
R_9SjDr9iOIa1MgZf,Default Response Set,Anonymous,0,0,10/21/15 17:22,10/21/15 17:56,1,,,,1,,,,1,1,,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,2,14.242,13.378,189.674,35.619,46.013,34.606,12.664,58.574,78.221,57.519,19.444,33.073,136.476,102.586,84.411,45.037,72.622,219.973,14.385,134.743,11.366,55.899,17.797,31.254,37.908,100.37,83.233,38.879,70.905,216.955,12.638,11.967,127.654,184.593,20.546,39.102,30.409,7.171,37.97,58.346,11.366,55.899,17.797,31.254,37.908,100.37,83.233,38.879,70.905,216.955,12.638,11.967,132.976,184.593,34.281,39.102,30.409,7.171,37.97,58.346,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,3,2,4,1,4,3,2,2,2,4,4,4,1,1,1,1,1,9,29,No,2.25,5,51.242,48.17,33.086,30.373,64.969,2.315,1.432,0.93,17.973,7.339,2.315,1.432,0.93,17.973,7.339,1,1,1,1,1,,4,1,20,2,,Es apropriado mantener en secreto una relacin anterior para que tu pareja sea feliz y la relacin siga intacta?,1,,3,12,4,6,7,7,6,7,7,7,7,0,13,39,58,This was fun,Yes,0
R_3NO00TO77CtdJAh,Default Response Set,Anonymous,0,0,10/21/15 17:25,10/21/15 18:00,1,,,,1,,,,1,1,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,1,1,1,1,1,2,1,2,2,2,22.817,41.414,86.573,32.172,81.508,23.62,323.891,95.978,22.429,16.409,20.215,43.988,57.664,29.375,29.877,102.006,15.502,57.916,46.821,76.607,14.999,15.377,19.208,42.868,42.972,27.006,28.837,86.641,14.341,7.193,44.132,40.286,68.616,71.092,29.244,80.322,9.203,322.564,77.589,21.455,14.999,15.377,19.208,42.868,42.972,27.006,28.837,86.641,14.341,51.93,45.978,40.286,68.616,74.309,29.244,80.322,22.382,322.564,77.589,21.455,1,1,1,1,1,1,1,1,1,5,2,1,1,5,1,1,11,1,1,1,5,1,5,4,2,1,4,2,2,4,4,1,1,1,1,1,1,4,15,No,2.50,5,120.269,29.74,17.974,19.809,158.222,2.454,1.153,1.788,1.061,1.858,118.051,28.753,6.189,2.02,119.559,14,6,5,2,2,4,,2,20,2,,Es apropriado para mantener su relacin anterior un secreto para mantenerlo/la feliz y viva la relacin?,1,,2,12,0.5,4,6,6,5,7,7,7,7,0,20,10,20,,Yes,0
R_1HoQ9gSVWV2OUNT,Default Response Set,Anonymous,0,0,10/21/15 17:45,10/21/15 18:13,1,,,,1,,,,1,1,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,2,2,20.461,44.595,25.819,26.058,14.143,27.958,63.141,15.225,35.129,15.56,20.62,173.532,29.246,66.147,16.617,22.807,40.045,27.962,25.176,63.47,19.232,14.334,19.032,168.5,28.448,63.548,12.036,13.088,35.404,21.762,22.953,33.901,61.956,23.438,22.951,12.956,26.485,44.898,14.099,31.289,19.232,14.334,19.032,168.5,28.448,65.184,14.886,20.424,36.835,21.762,22.953,35.033,61.956,24.203,22.951,12.956,26.485,44.898,14.099,32.634,1,1,1,1,1,2,3,2,2,1,1,2,1,2,1,1,1,1,1,2,4,1,4,5,2,2,3,2,2,4,3,3,1,1,1,1,1,9,30,Yes,2.25,3,59.711,27.894,11.276,35.897,67.434,41.387,20.312,8.592,26.38,19.508,41.387,20.312,8.592,26.38,19.508,1,1,1,1,1,4,,2,22,1,keeping a secret to prevent your new relationship from failing,Es apropriado para mantener su relacin Pasada un secreto para seguir el felicidad de su novio/a y la relacin viva?,1,,2,14,2,3,4,5,4,7,7,7,7,0,1,0,3,,Yes,0
R_41KSLXuk7fjmM5f,Default Response Set,Anonymous,0,0,10/21/15 17:52,10/21/15 18:17,1,,,,1,,,,1,1,,,1,Portuguese,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,2,2,30.843,29.748,28.585,49.087,40.969,36.943,22.86,52.787,35.021,44.374,26.047,27.644,35.447,33.777,15.761,52.011,45.049,25.26,17.773,15.701,29.294,42.93,22.899,26.467,33.81,32.121,14.708,48.128,43.914,24.273,16.831,28.63,14.521,26.607,43.078,39.153,34.605,19.734,51.063,32.996,29.294,42.93,22.899,26.467,33.81,32.121,14.708,48.128,43.914,24.273,16.831,28.63,14.521,26.607,43.078,39.153,34.605,19.734,51.063,32.996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,1,1,5,2,1,5,5,1,1,1,1,1,1,4,29,No   ,2.25,4,82.474,32.212,41.568,56.319,60.374,45.206,1.201,23.059,5.984,1.577,70.151,1.201,40.898,48.159,58.182,3,1,2,2,2,4,,1,21,2,,Es apropiado mantener en secreto tu ltima relacin para mantener a tu novio/a contento y la relacin viva?,1,,2,14,13,6,6,6,6,7,7,7,7,0,15,14,16,no,Yes,0
R_bpWJvuJyScCOWjj,Default Response Set,Anonymous,0,0,10/21/15 18:00,10/21/15 18:34,1,,,,1,,,,1,1,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,2,2,53.841,963.97,8.694,27.668,10.894,7.859,8.097,7.696,17.618,8.29,15.259,21.54,12.002,223.427,12.038,10.828,28.822,21.729,6.024,21.195,49.855,6.983,14.294,20.347,10.166,222.179,10.641,9.583,27.586,17.449,4.928,961.193,11.129,6.754,26.314,9.117,6.784,7.041,5.255,16.139,49.855,6.983,14.294,20.347,11.09,222.179,10.641,9.583,27.586,17.449,4.928,961.193,19.925,6.754,26.314,9.117,6.784,7.041,5.255,17.142,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,4,2,4,3,2,2,3,1,1,1,4,2,1,1,1,1,1,5,30,no,2.25,3,39.805,7.031,9.827,52.362,12.181,1.814,1.117,5.413,1.689,1.049,29.322,1.117,5.413,38.404,1.049,5,1,1,2,1,4,,1,19,2,,es apropiado para mantener su ultima relacion en secreto para ser feliz,1,,1,12,3,5,6,5,4,7,7,7,7,0,6,10,25,,Yes,0
R_3rTJ31JXmUpSrcN,Default Response Set,Anonymous,0,0,10/21/15 17:59,10/21/15 18:37,1,,,,1,,,,1,1,,,1,Portuguese,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,2,1,2,1,2,207.301,17.409,34.936,20.472,19.248,13.216,24.281,22.596,234.019,53.898,22.718,68.928,14.851,18.075,15.928,14.198,30.58,17.933,51.267,37.459,205.846,52.726,18.908,67.314,13.197,15.861,13.719,10.93,19.189,16.151,49.347,15.183,30.367,32.613,17.809,17.56,10.586,21.666,20.876,232.425,205.846,52.726,18.908,67.314,13.197,16.718,13.719,10.93,24.694,16.151,49.347,15.183,30.367,32.613,18.947,17.56,10.586,21.666,20.876,232.425,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,4,3,2,2,5,2,3,5,4,3,2,4,1,1,1,1,1,4,29,Yes   ,2.25,5,88.893,79.741,69.77,230.568,145.572,2.56,71.934,1.455,1.704,2.132,84.281,71.934,1.455,155.253,2.132,2,1,1,2,1,,4,2,20,2,,Es apropriado esconder tu relacin anterior un secreto para dejar a el/ella feliz y la relacin vive?,1,,2,15,1,6,6,7,5,6,7,7,6,60,10,51,20,N/A,Yes,0
