V1,V2,V3,SID,Language1SpanishL12EnglishL2,ExclusionReason,Include,V5,V7,V8,V9,V10,status,Native_1,Native_2,Native_3,Native_3_TEXT,Native_4,Native_5,Native_6,Speak_1,Speak_2,Speak_3,Speak_4,Speak_5,Speak_5_TEXT,Speak_6,Home,MariaEN,AlexEN,Consent,Intro,ScenN1,ScenN2,ScenN3,ScenN4,ScenN5,ScenN6,ScenN7,ScenN8,ScenN9,ScenN10,ScenN11,ScenN12,ScenN13,ScenN14,ScenN15,ScenN16,ScenN17,ScenN18,ScenN19,ScenN20,Scenario1,Scenario2,Scenario3,Scenario4,Scenario5,Scenario6,Scenario7,Scenario8,Scenario9,Scenario10,Scenario11,Scenario12,Scenario13,Scenario14,Scenario15,Scenario16,Scenario17,Scenario18,Scenario19,Scenario20,dv1,dv2,dv3,dv4,dv5,dv6,dv7,dv8,dv9,dv10,dv11,dv12,dv13,dv14,dv15,dv16,dv17,dv18,dv19,dv20,time_11,time_21,time_31,time_41,time_12,time_22,time_32,time_42,time_13,time_23,time_33,time_43,time_14,time_24,time_34,time_44,time_15,time_25,time_35,time_45,time_16,time_26,time_36,time_46,time_17,time_27,time_37,time_47,time_18,time_28,time_38,time_48,time_19,time_29,time_39,time_49,time_110,time_210,time_310,time_410,time_111,time_211,time_311,time_411,time_112,time_212,time_312,time_412,time_113,time_213,time_313,time_413,time_114,time_214,time_314,time_414,time_115,time_215,time_315,time_415,time_116,time_216,time_316,time_416,time_117,time_217,time_317,time_417,time_118,time_218,time_318,time_418,time_119,time_219,time_319,time_419,time_120,time_220,time_320,time_420,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_7,Q44_8,Q44_9,Q44_10,Q44_11,Q44_12,Q44_13,Q44_14,Q44_15,Q44_16,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Q46_7,Q46_8,Q46_9,Q46_10,Q46_11,Q46_12,Q46_13,Q46_14,Q46_15,Q46_16,Q46_17,Q46_18,Q46_19,Q46_20,Q46_21,Q46_22,Q46_23,Q46_24,Q42,Q44,gender,age_1,familiar,familiar2,Q36,Q47,Q47_TEXT,Q49,Q51_1,Q53_1,Q55_1,Q55_2,Q55_3,Q55_4,Q55_5,Q55_6,Q55_7,Q55_8,Q57_1,Q57_2,Q57_3,Q57_4,comments,v242,v243,v244,v245,v246,v247,v248,v249,v250,v251,v252,v253,v254,v255,v256,v257,v258,v259,v260,v261
ResponseID,ResponseSet,Name,SID,"Language (1= Spanish L1, 2=English L2)",ExclusionReason,Include?,EmailAddress,Status,StartDate,EndDate,Finished,status,What is your native language?-Spanish,What is your native language?-English,What is your native language?-Other (please specify):,What is your native language?-Other (please specify):-TEXT,What is your native language?-Catalan,What is your native language?-Galician,What is your native language?-Basque,Select the languages you speak. -Spanish,Select the languages you speak. -English,Select the languages you speak. -Catalan,Select the languages you speak. -Galician,Select the languages you speak. -Other,Select the languages you speak. -Other-TEXT,Select the languages you speak. -Basque,"Growing up, did you use English at home?",Please read the text below and answer the question. Maria is a student at a university. She recei...,Please read the text below and answer the question. Adam is a cashier at a mall. He is very good...,Agreement to Participate in Research You are invited to participate in a research study.Ê Duratio...,On the following screens you will see a series of 20 scenarios. Please read them carefully. Even...,Scenario: ${lm://CurrentLoopNumber} of 20 (1),Scenario: ${lm://CurrentLoopNumber} of 20 (2),Scenario: ${lm://CurrentLoopNumber} of 20 (3),Scenario: ${lm://CurrentLoopNumber} of 20 (4),Scenario: ${lm://CurrentLoopNumber} of 20 (5),Scenario: ${lm://CurrentLoopNumber} of 20 (6),Scenario: ${lm://CurrentLoopNumber} of 20 (7),Scenario: ${lm://CurrentLoopNumber} of 20 (8),Scenario: ${lm://CurrentLoopNumber} of 20 (9),Scenario: ${lm://CurrentLoopNumber} of 20 (10),Scenario: ${lm://CurrentLoopNumber} of 20 (11),Scenario: ${lm://CurrentLoopNumber} of 20 (12),Scenario: ${lm://CurrentLoopNumber} of 20 (13),Scenario: ${lm://CurrentLoopNumber} of 20 (14),Scenario: ${lm://CurrentLoopNumber} of 20 (15),Scenario: ${lm://CurrentLoopNumber} of 20 (16),Scenario: ${lm://CurrentLoopNumber} of 20 (17),Scenario: ${lm://CurrentLoopNumber} of 20 (18),Scenario: ${lm://CurrentLoopNumber} of 20 (19),Scenario: ${lm://CurrentLoopNumber} of 20 (20),Imagine the following: ${lm://Field/3} (1),Imagine the following: ${lm://Field/3} (2),Imagine the following: ${lm://Field/3} (3),Imagine the following: ${lm://Field/3} (4),Imagine the following: ${lm://Field/3} (5),Imagine the following: ${lm://Field/3} (6),Imagine the following: ${lm://Field/3} (7),Imagine the following: ${lm://Field/3} (8),Imagine the following: ${lm://Field/3} (9),Imagine the following: ${lm://Field/3} (10),Imagine the following: ${lm://Field/3} (11),Imagine the following: ${lm://Field/3} (12),Imagine the following: ${lm://Field/3} (13),Imagine the following: ${lm://Field/3} (14),Imagine the following: ${lm://Field/3} (15),Imagine the following: ${lm://Field/3} (16),Imagine the following: ${lm://Field/3} (17),Imagine the following: ${lm://Field/3} (18),Imagine the following: ${lm://Field/3} (19),Imagine the following: ${lm://Field/3} (20),${lm://Field/4} (1),${lm://Field/4} (2),${lm://Field/4} (3),${lm://Field/4} (4),${lm://Field/4} (5),${lm://Field/4} (6),${lm://Field/4} (7),${lm://Field/4} (8),${lm://Field/4} (9),${lm://Field/4} (10),${lm://Field/4} (11),${lm://Field/4} (12),${lm://Field/4} (13),${lm://Field/4} (14),${lm://Field/4} (15),${lm://Field/4} (16),${lm://Field/4} (17),${lm://Field/4} (18),${lm://Field/4} (19),${lm://Field/4} (20),Timing (1)-First Click,Timing (1)-Last Click,"Timing (1)-#QuestionText, TimingPageSubmit#","Timing (1)-#QuestionText, TimingClickCount#",Timing (2)-First Click,Timing (2)-Last Click,"Timing (2)-#QuestionText, TimingPageSubmit#","Timing (2)-#QuestionText, TimingClickCount#",Timing (3)-First Click,Timing (3)-Last Click,"Timing (3)-#QuestionText, TimingPageSubmit#","Timing (3)-#QuestionText, TimingClickCount#",Timing (4)-First Click,Timing (4)-Last Click,"Timing (4)-#QuestionText, TimingPageSubmit#","Timing (4)-#QuestionText, TimingClickCount#",Timing (5)-First Click,Timing (5)-Last Click,"Timing (5)-#QuestionText, TimingPageSubmit#","Timing (5)-#QuestionText, TimingClickCount#",Timing (6)-First Click,Timing (6)-Last Click,"Timing (6)-#QuestionText, TimingPageSubmit#","Timing (6)-#QuestionText, TimingClickCount#",Timing (7)-First Click,Timing (7)-Last Click,"Timing (7)-#QuestionText, TimingPageSubmit#","Timing (7)-#QuestionText, TimingClickCount#",Timing (8)-First Click,Timing (8)-Last Click,"Timing (8)-#QuestionText, TimingPageSubmit#","Timing (8)-#QuestionText, TimingClickCount#",Timing (9)-First Click,Timing (9)-Last Click,"Timing (9)-#QuestionText, TimingPageSubmit#","Timing (9)-#QuestionText, TimingClickCount#",Timing (10)-First Click,Timing (10)-Last Click,"Timing (10)-#QuestionText, TimingPageSubmit#","Timing (10)-#QuestionText, TimingClickCount#",Timing (11)-First Click,Timing (11)-Last Click,"Timing (11)-#QuestionText, TimingPageSubmit#","Timing (11)-#QuestionText, TimingClickCount#",Timing (12)-First Click,Timing (12)-Last Click,"Timing (12)-#QuestionText, TimingPageSubmit#","Timing (12)-#QuestionText, TimingClickCount#",Timing (13)-First Click,Timing (13)-Last Click,"Timing (13)-#QuestionText, TimingPageSubmit#","Timing (13)-#QuestionText, TimingClickCount#",Timing (14)-First Click,Timing (14)-Last Click,"Timing (14)-#QuestionText, TimingPageSubmit#","Timing (14)-#QuestionText, TimingClickCount#",Timing (15)-First Click,Timing (15)-Last Click,"Timing (15)-#QuestionText, TimingPageSubmit#","Timing (15)-#QuestionText, TimingClickCount#",Timing (16)-First Click,Timing (16)-Last Click,"Timing (16)-#QuestionText, TimingPageSubmit#","Timing (16)-#QuestionText, TimingClickCount#",Timing (17)-First Click,Timing (17)-Last Click,"Timing (17)-#QuestionText, TimingPageSubmit#","Timing (17)-#QuestionText, TimingClickCount#",Timing (18)-First Click,Timing (18)-Last Click,"Timing (18)-#QuestionText, TimingPageSubmit#","Timing (18)-#QuestionText, TimingClickCount#",Timing (19)-First Click,Timing (19)-Last Click,"Timing (19)-#QuestionText, TimingPageSubmit#","Timing (19)-#QuestionText, TimingClickCount#",Timing (20)-First Click,Timing (20)-Last Click,"Timing (20)-#QuestionText, TimingPageSubmit#","Timing (20)-#QuestionText, TimingClickCount#",Ignorance is bliss,It is better not to know too much about things that cannot be changed.,"In our complicated world, the only way we can know what's going on is to rely on leaders or experts who can be trusted.",There is only one right way to do anything.,A person either knows the answer to a question or he/she doesn't.,You can classify almost all people as either honest or dishonest.,People are either good or bad.,Life is basically the same most of the time.,Things often go wrong for me by no fault of my own.,I would feel much better if my present circumstances changed.,I am bothered by unhappy people who just feel sorry for themselves.,People make too much of the feelings and sensitivity of animals.,There are some people I know I would never like.,I can be comfortable with all kinds of people.,It's not really my problem if others are in trouble and need help.,A problem has little attraction for me if I don't think it has a solution.,I try to anticipate and avoid situations in which its likely I will have to think in depth.,I prefer to just let things happen rather than try to understand why they turned out that way.,Simply knowing the answer rather than understanding the reasoning behind the problem is fine with me.,I feel hesitant about making important decisions after thinking about them.,I often do not understand people's behavior.,I try to listen to everyone's opinion in an argument before I make a decision.,"When I'm upset at someone, I usually try to ""put myself in his or her shoes"".",I always try to look at all sides of a problem.,"Before criticizing somebody, I try to imagine how I would feel if I were in their place.",I sometimes find it difficult to see things from another person's point of view.,"When I am confused by a problem, one of the first things I do is survey the situation and consider all the relevant pieces of information.",Sometimes I get so charged up emotionally that I am unable to consider many ways of dealing with my problems.,"When I reflect on what has happened to me in life, I can't help feeling resentful.","When I reflect on what's happened to me in life, I feel cheated.",I either get very angry or depressed if things go wrong.,Sometimes I don't feel very sorry for other people when they are having problems.,Sometimes I feel authentic compassion for everyone.,I often have not comforted another when he or she needed it.,I don't like to get involved in listening to another person's troubles.,There are certain people whom I dislike so much that I am secretly pleased when they are caught and punished for something they have done.,"Sometimes when people are talking to me, I find myself wishing that they would leave.",I'm easily irritated by people who argue with me.,"If I see people in need, I try to help them one way or another.",Por favor lee el texto abajo y responde a la pregunta. Mara es estudiante universitaria. Tiene a...,Por favor lee el texto abajo y responde a la pregunta. Alex es cajero en un centro comercial. Se...,Please indicate your gender: ,How old are you?-years old,Did any of the scenarios seem familiar to you?,Which ones?,Please translate the following statement into SPANISH:Ê Is it morally correct to push the nearby...,What is your country of origin? ,What is your country of origin? -TEXT,What was the method of your Spanish acquisition?,How old were you when you began learning English in a meaningful way?-years old,How many months have you spent in an English speaking country?-months,Please use the sliders to indicate how proficient you are at:-Speaking SPANISH,Please use the sliders to indicate how proficient you are at:-Listening to SPANISH,Please use the sliders to indicate how proficient you are at:-Reading SPANISH,Please use the sliders to indicate how proficient you are at:-Writing SPANISH,Please use the sliders to indicate how proficient you are at:-Speaking ENGLISH,Please use the sliders to indicate how proficient you are at:-Listening to ENGLISH,Please use the sliders to indicate how proficient you are at:-Reading ENGLISH,Please use the sliders to indicate how proficient you are at:-Writing ENGLISH,"In each of the following contexts, estimate what percent of the time you use English(%)-With your family","In each of the following contexts, estimate what percent of the time you use English(%)-With your friends","In each of the following contexts, estimate what percent of the time you use English(%)-When reading (books, newspapers, etc)","In each of the following contexts, estimate what percent of the time you use English(%)-When watching TV or listening to the radio","Finally, any questions, comments, or suggestions for this study?","Timing (1)-#QuestionText, TimingPageSubmit#","Timing (2)-#QuestionText, TimingPageSubmit#","Timing (3)-#QuestionText, TimingPageSubmit#","Timing (4)-#QuestionText, TimingPageSubmit#","Timing (5)-#QuestionText, TimingPageSubmit#","Timing (6)-#QuestionText, TimingPageSubmit#","Timing (7)-#QuestionText, TimingPageSubmit#","Timing (8)-#QuestionText, TimingPageSubmit#","Timing (9)-#QuestionText, TimingPageSubmit#","Timing (10)-#QuestionText, TimingPageSubmit#","Timing (11)-#QuestionText, TimingPageSubmit#","Timing (12)-#QuestionText, TimingPageSubmit#","Timing (13)-#QuestionText, TimingPageSubmit#","Timing (14)-#QuestionText, TimingPageSubmit#","Timing (15)-#QuestionText, TimingPageSubmit#","Timing (16)-#QuestionText, TimingPageSubmit#","Timing (17)-#QuestionText, TimingPageSubmit#","Timing (18)-#QuestionText, TimingPageSubmit#","Timing (19)-#QuestionText, TimingPageSubmit#","Timing (20)-#QuestionText, TimingPageSubmit#"
R_2bDSP8zXRNbxfVz,Default Response Set,Anonymous,1,2,None,Yes,,0,6/20/16 3:36,6/20/16 4:13,1,complete,1,,1,,,,,1,1,,,1,gerrman,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,10.334,10.334,11.361,1,24.052,24.052,24.942,1,12.713,13.44,13.724,2,21.783,21.783,22.667,1,16.602,17.602,18.054,2,14.013,14.013,17.481,1,5.72,5.72,6.628,1,22.24,22.24,23.388,1,14.243,14.243,15.005,1,29.639,29.639,30.753,1,3.889,5.248,6.563,2,16.598,16.598,17.577,1,12.582,18.383,21.721,2,5.677,6.012,7.006,2,25.336,25.336,26.764,1,7.627,7.627,8.606,1,14.327,14.327,15.298,1,9.485,9.485,13.409,1,14.227,14.227,15.023,1,7.743,7.743,8.993,1,3,2,2,2,2,3,1,1,1,2,4,1,5,2,1,1,1,1,1,4,3,4,5,5,3,1,3,2,4,3,2,1,5,1,1,4,3,4,5,4,,2,22,2,,"ÀEs moralmente correcto empujar al hombre que se encuentra cerca para evitar que otras 4 personas mueran, a pesar de que el hombre al que has empujado morira?",3,Spain,1,12,5,7,7,7,7,7,7,7,7,0,29,82,82,,11.361,24.942,13.724,22.667,18.054,17.481,6.628,23.388,15.005,30.753,6.563,17.577,21.721,7.006,26.764,8.606,15.298,13.409,15.023,8.993
R_9MhV7zeZW8HkPvn,Default Response Set,Anonymous,2,2,None,Yes,,0,6/20/16 3:44,6/20/16 4:17,1,complete,1,,,,,,,1,1,1,,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,5.776,41.392,42.524,8,1.371,13.603,14.503,2,1.651,27.726,28.754,14,3.434,10.464,10.758,6,3.067,16.282,17.199,6,4.062,26.583,27.274,3,3.221,10.845,11.809,9,6.743,27.656,28.333,5,1.886,43.101,45.283,10,1.243,16.939,21.471,11,1.564,14.444,15.43,10,12.382,30.318,31.098,8,1.272,10.719,11.57,5,9.793,14.136,15.42,7,2.404,28.81,29.199,15,1.947,43.592,45.782,17,1.741,18.961,19.683,8,1.694,31.544,32.9,9,10.016,14.087,14.971,5,6.73,36.061,36.745,10,3,4,2,1,1,3,3,1,4,1,4,3,5,3,2,3,1,2,1,2,3,5,4,5,3,3,3,2,2,1,2,4,3,2,1,4,3,3,4,,4,1,22,1,alex as a cahiser,"es moralmente correcto empujar al hombre que se encuentra cerca de ti para evitar que otras 4 personas mueran, aun sabiendo que esto matar al hombre que tu empujaste?",3,spain,1,4,9,7,7,7,7,6,7,7,7,6,40,68,83,,42.524,14.503,28.754,10.758,17.199,27.274,11.809,28.333,45.283,21.471,15.43,31.098,11.57,15.42,29.199,45.782,19.683,32.9,14.971,36.745
R_cHJpeyPo8kBGYx7,Default Response Set,Anonymous,3,2,None,Yes,,0,6/20/16 3:43,6/20/16 4:18,1,complete,1,,,,,,,1,1,,,1,German,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,25.936,25.936,27.043,1,16.22,16.22,17.431,1,14.579,14.579,16.407,1,23.67,23.67,26.096,1,28.587,28.587,30.8,1,28.768,28.768,30.035,1,17.181,17.181,18.632,1,25.255,25.255,28.403,1,24.837,24.837,25.92,1,35.81,35.81,38.028,1,3.255,15.383,16.514,3,2.165,25.338,26.399,14,15.465,15.465,17.109,1,16.241,16.241,20.605,1,22.966,22.966,24.089,1,29.877,29.877,32.346,1,18.868,18.868,20.375,1,30.54,39.916,41.856,2,15.578,15.578,18.03,1,37.268,37.268,38.344,1,1,4,4,1,2,2,1,1,3,4,1,4,5,2,1,4,5,1,2,4,5,5,2,4,3,5,4,4,5,4,5,5,2,2,2,5,4,2,4,4,,1,23,1,Those about the train. Classical moral dilemma in Ethics during my BA on philosophy.,"ÀEs moralmente aceptable empujar al hombre de al laado para prevenir la muerte de cuatro personas, incluso aunque esto mate al hombre que empujaste?",3,Spain,3,10,0,7,7,7,7,7,6,7,5,0,29,37,58,,27.043,17.431,16.407,26.096,30.8,30.035,18.632,28.403,25.92,38.028,16.514,26.399,17.109,20.605,24.089,32.346,20.375,41.856,18.03,38.344
R_8bTTfInbo5jt15j,Default Response Set,Anonymous,4,2,None,Yes,,0,6/20/16 3:41,6/20/16 4:19,1,complete,1,,,,,,,1,1,1,,1,German,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,2,2,1,1,2,2,22.897,22.897,28.237,1,14.648,14.648,18.036,1,18.261,18.261,24.682,1,41.086,41.086,44.458,1,35.085,35.085,38.847,1,21.058,22.465,29.845,2,18.31,18.31,22.041,1,25.896,25.896,27.435,1,25.756,28.235,31.935,2,11.923,11.923,14.926,1,9.368,9.368,11.428,1,25.8,25.8,39.811,1,6.845,6.845,8.721,1,22.408,22.408,25.48,1,40.506,40.506,42.661,1,18.151,18.151,21.339,1,9.218,9.218,13.469,1,35.605,42.532,44.952,2,23.902,23.902,25.113,1,4.245,5.893,15.122,2,4,2,2,2,2,3,2,2,3,4,2,1,1,2,2,4,3,2,2,4,3,4,4,4,3,4,5,4,4,2,4,3,4,4,3,2,4,4,4,,4,2,21,2,,"ÀEs moralmente correcto empujar a un hombre cercano para prevenir la muerte de otras cuatro personas, incluso si esto mata al hombre que empujaste?",3,SPAIN,3,4,0,7,7,7,7,7,7,7,6,8,49,81,94,,28.237,18.036,24.682,44.458,38.847,29.845,22.041,27.435,31.935,14.926,11.428,39.811,8.721,25.48,42.661,21.339,13.469,44.952,25.113,15.122
R_7Ukwe4Pw6RqsAdv,Default Response Set,Anonymous,5,2,None,Yes,,0,6/20/16 3:42,6/20/16 4:19,1,complete,1,,,,,,,1,1,1,,1,French,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33.155,33.155,35.11,1,23.36,23.36,26.291,1,27.215,27.215,28.307,1,32.08,32.08,33.339,1,13.438,13.438,16.824,1,25.889,25.889,27.036,1,10.725,10.725,11.808,1,20.545,21,21.98,2,57.598,57.598,59.041,1,4.766,4.766,7.912,1,34.413,37.773,39.209,2,15.607,17.207,18.504,2,17.292,17.292,18.286,1,18.196,18.196,20.465,1,44.338,44.338,45.421,1,40.652,40.652,41.67,1,24.062,24.062,24.794,1,18.528,20.575,22.915,2,12.363,12.363,14.221,1,25.362,25.362,26.917,1,3,4,4,2,1,4,2,4,4,5,4,2,4,2,2,3,3,2,2,3,4,4,4,4,5,2,4,4,4,3,4,3,5,2,2,3,4,4,4,,4,2,20,2,,"ÀEs moralmente correcto empujar al hombre ms cercano para prevenir la muerte de otros cuatro hombres, incluso sabiendo que esto matar al hombre que t has empujado?",3,Spain,1,3,0,7,7,7,7,5,6,7,6,3,24,72,97,No. Everything was fine!,35.11,26.291,28.307,33.339,16.824,27.036,11.808,21.98,59.041,7.912,39.209,18.504,18.286,20.465,45.421,41.67,24.794,22.915,14.221,26.917
R_085qqllK4u3KQvz,Default Response Set,Anonymous,6,2,None,Yes,,0,6/20/16 3:35,6/20/16 4:22,1,complete,1,,,,,,,,1,1,,1,"French, German",,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2.249,66.316,68.024,11,4.482,7.833,8.932,2,12.523,12.523,13.64,1,6.982,36.224,37.26,5,10.041,17.326,18.332,6,3.355,43.77,52.639,13,14.306,58.877,61.13,4,2.696,19.124,22.688,7,39.438,42.99,44.546,3,5.183,18.814,19.955,3,4.018,17.097,18.053,6,8.166,8.525,9.361,2,7.221,23.503,24.86,3,3.287,55.135,58.989,15,28.53,32.123,34.831,2,5.403,20.29,21.197,7,45.772,45.772,54.087,1,2.065,14.896,16.236,4,7.969,33.031,34.01,7,11.585,16.28,20.733,3,1,1,2,1,1,2,1,1,1,1,2,1,3,1,2,1,1,1,1,2,3,5,4,5,4,2,5,4,1,1,3,2,5,4,2,2,4,2,4,,4,1,22,2,,"Es moralmente correcto empujar al hombre de al lado para evitar que 4 personas mueran, an teniendo en cuenta que empujar al hombre causara su muerte?",3,Spain,2,6,5,7,7,7,7,7,7,7,7,9,29,93,50,,68.024,8.932,13.64,37.26,18.332,52.639,61.13,22.688,44.546,19.955,18.053,9.361,24.86,58.989,34.831,21.197,54.087,16.236,34.01,20.733
R_560guDYYCRIUeP3,Default Response Set,Anonymous,7,2,None,Yes,,0,6/20/16 3:37,6/20/16 4:22,1,complete,1,,,,,,,1,1,1,,1,German,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,27.574,27.574,28.585,1,45.433,45.433,46.444,1,21.734,21.734,28.079,1,32.951,32.951,33.939,1,23.104,23.104,23.948,1,30.193,30.193,31.157,1,57.993,57.993,59.205,1,25.937,25.937,26.836,1,19.896,19.896,20.836,1,49.169,49.169,50.165,1,26.199,26.199,27.411,1,16.312,16.312,17.506,1,28.494,28.494,29.569,1,24.843,24.843,25.91,1,29.706,29.706,30.892,1,42.716,42.716,44.144,1,27.043,27.043,28.199,1,30.428,30.428,31.709,1,29.924,29.924,30.951,1,27.06,27.06,27.958,1,1,2,1,1,2,2,1,4,2,2,4,2,2,2,2,3,2,2,2,5,4,5,4,4,3,2,4,4,2,1,2,4,4,3,1,2,2,4,5,4,,2,20,2,,"Es moralmente correcto empujar una persona cercana para evitar que cuatro personas mueran, aunque esto mate el hombre que has empujado?",3,Spain,2,7,2,7,7,7,7,6,7,7,7,2,30,75,90,-,28.585,46.444,28.079,33.939,23.948,31.157,59.205,26.836,20.836,50.165,27.411,17.506,29.569,25.91,30.892,44.144,28.199,31.709,30.951,27.958
R_5tjug1pstNIcjjf,Default Response Set,Anonymous,8,2,None,Yes,,0,6/20/16 3:35,6/20/16 4:22,1,complete,1,,,,,,,1,1,1,,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,1,2,23.847,24.961,26.461,2,34.83,34.83,36.898,1,24.482,24.482,25.382,1,21.284,21.284,22.663,1,33.992,33.992,35.019,1,37.947,37.947,38.78,1,15.947,15.947,23.999,1,58.631,58.631,59.963,1,39.15,39.15,40.402,1,41.547,41.547,42.679,1,21.03,21.03,22.177,1,8.269,8.269,19.296,1,14.505,14.505,17.349,1,37.28,37.28,38.365,1,43.43,43.43,44.529,1,62.889,62.889,67.716,1,25.649,25.649,32.141,1,33.274,33.274,35.933,1,23.121,24.145,25.451,2,22.871,27.446,28.346,2,2,3,4,2,4,3,1,1,3,2,4,2,4,2,2,2,4,2,3,3,3,4,4,4,4,4,3,3,2,4,4,2,3,2,1,4,2,4,3,,4,2,20,2,,Es moralmente correcto empujar al hombre grande para salvar a la otra gente incluso si el empujar a este hombre supone su muerte?,3,Spain,2,6,1,7,7,7,7,5,6,5,6,17,28,50,65,,26.461,36.898,25.382,22.663,35.019,38.78,23.999,59.963,40.402,42.679,22.177,19.296,17.349,38.365,44.529,67.716,32.141,35.933,25.451,28.346
R_cXTkW7mvNPHIMoR,Default Response Set,Anonymous,9,2,None,Yes,,0,6/20/16 3:38,6/20/16 4:22,1,complete,1,,,,,,,1,1,1,,1,french,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,11.062,32.829,69.501,6,9.37,10.481,13.461,2,4.43,54.47,55.402,5,31.512,34.703,35.827,4,2.128,33.871,39.328,8,36.794,58.479,59.395,2,2.972,44.822,47.282,3,18.382,19.582,20.674,3,9.725,37.789,41.849,9,19.209,20.184,21.444,2,10.082,12.377,13.533,3,16.033,19.552,19.924,4,9.665,22.872,23.765,3,5.614,25.82,30.576,6,26.044,27.571,28.744,2,28.17,29.577,32.463,2,18.611,22.138,23.044,3,10.402,11.523,12.487,2,18.215,19.526,20.283,2,8.466,8.466,9.582,1,1,1,1,1,1,2,2,1,2,2,5,3,4,3,1,1,1,1,1,2,1,2,4,5,1,3,4,1,1,1,2,2,1,2,1,3,1,1,4,4,,2,20,2,,"ÀEs moralmente correcto empujar al hombre cercano para evitar que las otras cuatro personas, a pesar de que esto matar al hombre al que has empujado?",3,Spain,2,5,0.5,7,7,7,7,5,6,6,5,10,20,40,65,,69.501,13.461,55.402,35.827,39.328,59.395,47.282,20.674,41.849,21.444,13.533,19.924,23.765,30.576,28.744,32.463,23.044,12.487,20.283,9.582
