id,cond,gender,dv0,dv1,l1_proficiency,l2_proficiency,U,D
1,L2,1,.80000001,0,7,5,.80000001,0
2,L2,1,.89999998,.1,6.75,4,.79999995,.49999988
3,L2,1,.80000001,.60000002,7,7,.19999999,.75
4,L2,1,1,.60000002,7,4.75,.39999998,1
5,L2,1,.89999998,.80000001,7,6,.099999964,.8888889
6,L2,2,1,.89999998,7,5.5,.10000002,1
7,L2,1,1,.69999999,7,5.5,.30000001,1
8,L2,1,.69999999,.69999999,7,5.25,0,.69999999
9,L2,1,.60000002,.60000002,7,5.5,0,.60000002
10,L2,1,.60000002,0,6.25,6.25,.60000002,0
11,L2,1,1,.80000001,7,5.75,.19999999,1
12,L2,1,1,.60000002,6.75,5.25,.39999998,1
13,L2,2,.89999998,.69999999,7,6,.19999999,.875
14,L2,2,.80000001,.69999999,7,6,.10000002,.77777779
15,L2,2,.80000001,.40000001,7,3,.40000001,.66666669
16,L2,2,1,.5,7,5.5,.5,1
17,L2,1,.89999998,0,7,4.75,.89999998,0
18,L2,1,.89999998,.69999999,7,5.75,.19999999,.875
19,L2,1,1,1,7,4,0,1
20,L2,2,.80000001,.80000001,7,6.5,0,.80000001
21,L2,2,1,.1,6,6,.89999998,.99999976
22,L2,1,.89999998,0,7,5.25,.89999998,0
23,L2,1,.69999999,.69999999,7,6.25,0,.69999999
24,L2,2,1,1,7,5,0,1
25,L2,2,.89999998,.60000002,7,5,.29999995,.85714281
26,L2,1,.80000001,.89999998,7,5.25,-.099999964,.81818181
27,L2,1,1,1,6.75,3.25,0,1
28,L2,1,1,.1,7,5.5,.89999998,.99999976
29,L2,1,1,.89999998,7,6.25,.10000002,1
30,L2,1,1,.80000001,7,5,.19999999,1
31,L2,1,1,.69999999,7,6,.30000001,1
32,L2,2,.89999998,.60000002,7,6,.29999995,.85714281
33,L2,1,.80000001,.60000002,7,7,.19999999,.75
34,L2,1,1,.80000001,7,4.75,.19999999,1
35,L2,2,.75,.5,7,1,.25,.66666669
36,L2,1,1,.89999998,7,6,.10000002,1
37,L2,1,1,.69999999,7,6.25,.30000001,1
38,L2,1,1,.40000001,7,5.25,.60000002,1.0000001
39,L2,1,.89999998,.60000002,7,5.75,.29999995,.85714281
40,L2,1,.89999998,.40000001,7,4.75,.49999997,.79999995
41,L2,1,.89999998,.80000001,7,5.5,.099999964,.8888889
42,L2,2,.89999998,.60000002,7,6,.29999995,.85714281
43,L2,2,1,.80000001,7,6.5,.19999999,1
44,L2,2,.89999998,.89999998,7,3.75,0,.89999998
45,L2,1,.89999998,.80000001,7,6,.099999964,.8888889
46,L2,1,1,.89999998,6.5,5.25,.10000002,1
47,L2,1,.89999998,.1,7,5.75,.79999995,.49999988
48,L2,1,.69999999,.60000002,7,5.5,.099999964,.66666669
49,L2,1,.69999999,.5,6.75,3.75,.19999999,.625
50,L2,1,.89999998,.69999999,6.5,5,.19999999,.875
51,L2,2,.80000001,.69999999,7,5,.10000002,.77777779
52,L2,1,.69999999,.5,6.5,5,.19999999,.625
53,L2,1,.89999998,.30000001,7,4.25,.59999996,.74999994
54,L2,1,1,1,7,5.5,0,1
55,L2,2,.69999999,.69999999,7,4.75,0,.69999999
56,L2,1,.89999998,1,7,5.5,-.10000002,.90909088
57,L2,1,1,.2,6.75,6,.80000001,1.0000001
58,L2,2,.89999998,.89999998,7,4.25,0,.89999998
59,L2,1,.69999999,.5,7,5,.19999999,.625
60,L2,1,1,.40000001,7,6,.60000002,1.0000001
61,L2,2,.89999998,.60000002,7,5.5,.29999995,.85714281
62,L2,1,1,1,6.25,5,0,1
63,L2,2,1,.5,6.75,6.25,.5,1
64,L2,1,1,.80000001,7,3.75,.19999999,1
65,L2,1,.89999998,.80000001,7,2.75,.099999964,.8888889
66,L2,2,.80000001,.30000001,7,5.25,.5,.60000002
67,L2,2,.42857143,.80000001,6,3.5,-.37142858,.58333331
68,L2,1,.80000001,.60000002,7,5.75,.19999999,.75
