ResponseID,ResponseSet,Name,Language,SID,Language1GERMANL12EnglishL2,ExclusionReason,Include,EmailAddress,Status,StartDate,EndDate,Finished,status,WhatisyournativelanguageGerman,WhatisyournativelanguageEnglish,WhatisyournativelanguageOther,WhatisyournativelanguageOtherTEX,v20,v21,v22,Whatlanguagesdoyouspeakataninter,v24,v25,v26,v27,v28,v29,GrowingupdidyouusealotofEnglisha,Pleasereadthetextbelowandanswert,v32,AgreementtoParticipateinResearch,Onthefollowingscreensyouwillseea,ScenariolmCurrentLoopNumberof201,ScenariolmCurrentLoopNumberof202,ScenariolmCurrentLoopNumberof203,ScenariolmCurrentLoopNumberof204,ScenariolmCurrentLoopNumberof205,ScenariolmCurrentLoopNumberof206,ScenariolmCurrentLoopNumberof207,ScenariolmCurrentLoopNumberof208,ScenariolmCurrentLoopNumberof209,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,ImaginethefollowinglmField31,ImaginethefollowinglmField32,ImaginethefollowinglmField33,ImaginethefollowinglmField34,ImaginethefollowinglmField35,ImaginethefollowinglmField36,ImaginethefollowinglmField37,ImaginethefollowinglmField38,ImaginethefollowinglmField39,ImaginethefollowinglmField310,ImaginethefollowinglmField311,ImaginethefollowinglmField312,ImaginethefollowinglmField313,ImaginethefollowinglmField314,ImaginethefollowinglmField315,ImaginethefollowinglmField316,ImaginethefollowinglmField317,ImaginethefollowinglmField318,ImaginethefollowinglmField319,ImaginethefollowinglmField320,dv1,dv2,dv3,dv4,dv5,dv6,dv7,dv8,dv9,dv10,dv11,dv12,dv13,dv14,dv15,dv16,dv17,dv18,dv19,dv20,Timing1FirstClick,Timing1LastClick,Timing1QuestionTextTimingPageSub,Timing1QuestionTextTimingClickCo,Timing2FirstClick,Timing2LastClick,Timing2QuestionTextTimingPageSub,Timing2QuestionTextTimingClickCo,Timing3FirstClick,Timing3LastClick,v105,v106,v107,Timing4LastClick,Timing4QuestionTextTimingPageSub,Timing4QuestionTextTimingClickCo,Timing5FirstClick,Timing5LastClick,Timing5QuestionTextTimingPageSub,Timing5QuestionTextTimingClickCo,Timing6FirstClick,Timing6LastClick,Timing6QuestionTextTimingPageSub,Timing6QuestionTextTimingClickCo,Timing7FirstClick,Timing7LastClick,Timing7QuestionTextTimingPageSub,Timing7QuestionTextTimingClickCo,Timing8FirstClick,Timing8LastClick,Timing8QuestionTextTimingPageSub,Timing8QuestionTextTimingClickCo,Timing9FirstClick,Timing9LastClick,Timing9QuestionTextTimingPageSub,Timing9QuestionTextTimingClickCo,Timing10FirstClick,Timing10LastClick,Timing10QuestionTextTimingPageSu,Timing10QuestionTextTimingClickC,Timing11FirstClick,Timing11LastClick,Timing11QuestionTextTimingPageSu,Timing11QuestionTextTimingClickC,Timing12FirstClick,Timing12LastClick,Timing12QuestionTextTimingPageSu,Timing12QuestionTextTimingClickC,Timing13FirstClick,Timing13LastClick,Timing13QuestionTextTimingPageSu,Timing13QuestionTextTimingClickC,Timing14FirstClick,Timing14LastClick,Timing14QuestionTextTimingPageSu,Timing14QuestionTextTimingClickC,Timing15FirstClick,Timing15LastClick,Timing15QuestionTextTimingPageSu,Timing15QuestionTextTimingClickC,Timing16FirstClick,Timing16LastClick,Timing16QuestionTextTimingPageSu,Timing16QuestionTextTimingClickC,Timing17FirstClick,Timing17LastClick,Timing17QuestionTextTimingPageSu,Timing17QuestionTextTimingClickC,Timing18FirstClick,Timing18LastClick,Timing18QuestionTextTimingPageSu,Timing18QuestionTextTimingClickC,Timing19FirstClick,Timing19LastClick,Timing19QuestionTextTimingPageSu,Timing19QuestionTextTimingClickC,Timing20FirstClick,Timing20LastClick,Timing20QuestionTextTimingPageSu,Timing20QuestionTextTimingClickC,Ignoranceisbliss,Itisbetternottoknowtoomuchaboutt,Inthiscomplicatedworldofourstheo,Thereisonlyonerightwaytodoanythi,Apersoneitherknowstheanswertoaqu,Youcanclassifyalmostallpeoplease,Peopleareeithergoodorbad,Lifeisbasicallythesamemostofthet,Thingsoftengowrongformebynofault,Iwouldfeelmuchbetterifmypresentc,Iamannoyedbyunhappypeoplewhojust,Peoplemaketoomuchofthefeelingsan,TherearesomepeopleIknowIwouldnev,Icanbecomfortablewithallkindsofp,ItÕsnotreallymyproblemifothersar,Aproblemhaslittleattractionforme,Itrytoanticipateandavoidsituatio,Ipreferjusttoletthingshappenrath,Simplyknowingtheanswerratherthan,Iamhesitantaboutmakingimportantd,IoftendonotunderstandpeopleÕsbeh,ItrytolookateverybodyÕssideofadi,WhenIÕmupsetatsomeoneIusuallytry,Ialwaystrytolookatallsidesofapro,BeforecriticizingsomebodyItrytoi,Isometimesfinditdifficulttoseeth,WhenIamconfusedbyaproblemoneofth,SometimesIgetsochargedupemotiona,WhenIlookbackonwhathashappenedto,WhenIlookbackonwhatÕshappenedtom,Ieithergetveryangryordepressedif,SometimesIdonÕtfeelverysorryforo,SometimesIfeelarealcompassionfor,Ioftenhavenotcomfortedanotherwhe,IdonÕtliketogetinvolvedinlisteni,TherearecertainpeoplewhomIdislik,Sometimeswhenpeoplearetalkingtom,IÕmeasilyirritatedbypeoplewhoarg,IfIseepeopleinneedItrytohelpthem,BittelesenSiedenuntenstehendenTe,v215,Pleaseindicateyourgender,Howoldareyouyearsold,Didanyofthescenariosseemfamiliar,Whichones,Pleasetranslatethefollowingstate,Whatisyourcountryoforigin,WhatisyourcountryoforiginTEXT,WhatwasthemethodofyourEnglishacq,Howoldwereyouwhenyoubeganlearnin,HowmanymonthshaveyouspentinanEng,Pleaseusethesliderstoindicatehow,v227,v228,v229,v230,v231,v232,v233,Ineachofthefollowingcontextsesti,v235,v236,v237,Finallyanyquestionscommentsorsug,ThankyouforyourparticipationThis,Source,Code,v245,v246,v247,v248,v249,v250,v251,v252,v253,v254,v255,v256,v257,v258,v259,v260,v261,v262,v263,v264
R_29vEfV1brX5HtK5,Default Response Set,Anonymous,2,1,2,None,Yes,,0,7/7/16 3:36,7/7/16 4:01,1,Complete,1,,,,,,,1,1,,,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,1,1,2,23.207001,23.207001,24.127001,1,31.194,31.194,32.333,1,23.320999,31.976999,,,,28.356001,29.385,2,23.666,45.393002,47.731998,5,7.3499999,7.3499999,9.3439999,1,36.161999,36.161999,37.526001,1,8.8369999,8.8369999,9.8299999,1,53.893002,81.236,82.681999,9,17.691999,25.219,26.099001,2,20.639999,20.639999,23.719,1,31.617001,31.617001,35.216999,1,17.656,17.656,19.375,1,45.431,45.431,46.269001,1,10.169,10.169,10.913,1,43.798,43.798,48.994999,1,8.0019999,19.042,26.801001,2,99.280998,115.168,121.02,4,36.379002,36.379002,37.169998,1,35.089001,35.089001,36.423,1,2,4,4,2,2,2,2,2,3,3,4,3,4,3,2,3,2,3,2,2,4,4,4,4,4,2,3,2,3,2,2,4,4,2,3,4,4,3,4,,4,1,25,2,,"Ist es moralisch korrekt, den nahstehenden Mann zu schubsen, um vier andere Leute vor dem Tod zu bewahren, obwohl dies den Mann, den du geschubst hast, tten wird?",1,,1,10,0,7,7,7,7,4,5,5,6,0,3,11,34,"I decided in a rational way, but I would certainly not decide the same way, if I was really in these kind of situations.",1,2825,Z280B,24.127001,32.333,,29.385,47.731998,9.3439999,37.526001,9.8299999,82.681999,26.099001,23.719,35.216999,19.375,46.269001,10.913,48.994999,26.801001,121.02,37.169998,36.423
R_43nL878O0qBZYqh,Default Response Set,Anonymous,2,2,2,None,Yes,,0,7/20/16 2:41,7/20/16 3:06,1,Complete,1,,,,,,,1,1,,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,2,1,2,37.529999,37.529999,39.091999,1,25.489,26.464001,27.448,3,38.277,40.290001,,,,39.611,40.511002,1,29.288,29.288,30.312,1,38.875,38.875,39.710999,1,28.789,28.789,29.719,1,35.495998,35.495998,36.285,1,44.248001,44.248001,45.529999,1,37.341,37.341,40.299999,1,37.283001,37.283001,38.120998,1,24.541,24.541,26.743,1,22.152,22.152,22.958,1,27.893999,27.893999,28.792,1,41.542,41.542,42.426998,1,65.213997,65.213997,66.723999,1,28.368999,28.368999,29.257999,1,46.735001,46.735001,48.377998,1,33.791,33.791,34.574001,1,45.608002,45.608002,46.632,1,3,1,3,1,4,1,5,1,3,5,2,4,4,2,2,1,1,2,1,3,2,4,4,5,3,2,5,2,4,3,2,3,1,3,2,1,2,1,4,4,,1,31,2,,"Es ist moralisch in Ordnung den nahe stehenden Mann wegzuschubsen um vier andere Menschen vor dem Tod zu bewahren, obwohl dadurch der Mann sterben wird den ich geschubst habe.",1,,1,11,0,7,7,7,6,3,5,5,3,0,1,5,5,,1,2063,Z216B,39.091999,27.448,,40.511002,30.312,39.710999,29.719,36.285,45.529999,40.299999,38.120998,26.743,22.958,28.792,42.426998,66.723999,29.257999,48.377998,34.574001,46.632
R_emkGekSTQDNQrZP,Default Response Set,Anonymous,2,3,2,None,Yes,,0,7/20/16 2:35,7/20/16 3:07,1,Complete,1,,,,,,,1,1,,,,1,"French, Spanish",2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,36.426998,36.426998,39.381001,1,37.785999,37.785999,39.716,1,51.826,51.826,,,,35.097,37.512001,1,83.242996,83.242996,84.676003,1,38.742001,38.742001,41.584999,1,42.021999,42.021999,43.640999,1,48.236,48.236,49.918999,1,59.937,59.937,61.938999,1,52.412998,52.412998,53.838001,1,33.02,33.02,38.550999,1,48.320999,48.320999,49.544998,1,27.209,27.209,28.233999,1,47.127998,47.127998,48.319,1,51.756001,51.756001,53.028999,1,75.297997,75.297997,76.731003,1,55.161999,57.167,58.591,2,34.743,34.743,38.455002,1,39.351002,39.351002,40.622002,1,41.793999,41.793999,43.319,1,2,2,1,2,3,2,2,2,4,3,3,3,4,2,2,3,2,1,2,5,3,4,4,4,4,4,5,2,3,4,3,4,3,3,2,4,4,2,4,4,,1,27,1,The one with the train,"Ist es moralisch vertretbar, den Mann in der Nhe zu schubsen, um vier andere Menschen davor zu schtzen zu sterben, auch wenn das den Mann umbringen wird, den du geschubst hast?",1,,1,10,6,7,7,7,7,7,7,7,7,0,10,70,60,Interesting study that made me think a lot about my own personality. Thanks!,1,3061,Z300B,39.381001,39.716,,37.512001,84.676003,41.584999,43.640999,49.918999,61.938999,53.838001,38.550999,49.544998,28.233999,48.319,53.028999,76.731003,58.591,38.455002,40.622002,43.319
R_1Zb6i4BDrj3lTpz,Default Response Set,Anonymous,2,4,2,None,Yes,,0,7/20/16 2:43,7/20/16 3:08,1,Complete,1,,,,,,,1,1,,,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,36.57,36.57,38.124001,1,11.919,11.919,12.721,1,22.584,22.584,,,,51.233002,54.594002,1,26.726,26.726,27.752001,1,40.167,40.167,44.064999,1,45.933998,45.933998,46.929001,1,14.519,14.519,15.307,1,48.256001,48.256001,49.141998,1,37.964001,37.964001,39.125999,1,26.624001,26.624001,27.938,1,22.156,22.156,23.021999,1,88.411003,88.411003,89.628998,1,21.474001,21.474001,22.948,1,16.575001,16.575001,17.674,1,45.91,45.91,47.361,1,31.379,31.379,34.293999,1,26.947001,26.947001,38.764999,1,35.584999,35.584999,36.570999,1,20.386,21.299,22.476999,3,2,2,3,1,2,1,1,2,2,3,3,2,4,3,3,3,1,1,1,2,2,5,4,4,4,3,4,4,2,2,2,2,4,1,1,1,1,1,4,,4,1,32,2,,"Es ist moralisch vertretbar den Mann in der Nhe zu schubsen um vier andere vorm sterben zu schtzen, auch wenn der Mann dadurch gettet wird.",1,,1,10,10,7,7,7,7,3,6,6,4,0,20,80,80,,1,1587,Z177Y,38.124001,12.721,,54.594002,27.752001,44.064999,46.929001,15.307,49.141998,39.125999,27.938,23.021999,89.628998,22.948,17.674,47.361,34.293999,38.764999,36.570999,22.476999
R_7aLuoUTq38dflVX,Default Response Set,Anonymous,2,5,2,None,Yes,,0,7/20/16 2:59,7/20/16 3:09,1,Complete,1,,,,,,,,1,,,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2.8410001,2.8410001,3.766,1,6.0380001,6.0380001,7.9429998,1,5.276,6.4229999,,,,4.5760002,7.3330002,1,10.316,10.316,12.175,1,5.691,5.691,7.1160002,1,3.1270001,3.1270001,5.4239998,1,5.191,5.191,6.0539999,1,3.391,3.391,5.336,1,4.165,4.165,5.552,1,4.6890001,6.0180001,7.6139998,2,4.1399999,4.1399999,5.368,1,2.349,2.349,3.79,1,3.2750001,3.2750001,4.1989999,1,2.5680001,2.5680001,3.832,1,2.8169999,2.8169999,4.4390001,1,5.6700001,5.6700001,7.2329998,1,2.9349999,2.9349999,4.7849998,1,4.256,4.256,6.2459998,1,3.1559999,3.1559999,4.5760002,1,2,2,1,1,1,1,1,1,1,2,1,1,6,1,2,1,1,1,3,3,4,5,3,5,5,4,6,1,1,1,5,2,3,3,4,2,4,4,5,,4,1,37,2,,"Es ist moralisch richtig den Mann in der Nhe zu schubsen, um 4 Menschen davor zu bewahren zu sterben, selbst wenn das den Mann, den ich geschubst habe, ttet.",1,,2,9,15,7,7,7,7,6,6,6,6,9,38,37,62,,1,8805,Z778B,3.766,7.9429998,,7.3330002,12.175,7.1160002,5.4239998,6.0539999,5.336,5.552,7.6139998,5.368,3.79,4.1989999,3.832,4.4390001,7.2329998,4.7849998,6.2459998,4.5760002
R_2tmVlQP3UGhkHxr,Default Response Set,Anonymous,2,6,2,None,Yes,,0,7/20/16 2:59,7/20/16 3:13,1,Complete,1,,,,,,,,1,,,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3.276,3.276,10.181,1,35.272999,35.272999,37.722,1,5.711,5.711,,,,24.789,26.051001,2,31.538,31.538,32.390999,1,6.5900002,7.638,9.5319996,2,2.812,2.812,5.198,1,14.27,15.182,15.553,2,15.383,15.703,16.789,2,5.3369999,5.3369999,8.6899996,1,23.951,25.086,27.283001,2,12.748,12.748,13.95,1,10.762,11.641,12.033,2,19.264999,19.264999,20.254,1,17.757,17.757,18.577999,1,15.125,15.125,16.681,1,9.2659998,9.6949997,10.628,2,31.24,31.24,32.556999,1,29.645,29.645,30.9,1,3.6459999,3.6459999,9.9399996,1,3,2,2,1,2,3,2,2,2,2,5,1,4,3,2,3,2,4,2,2,3,4,3,4,4,4,4,2,2,1,1,3,4,3,2,1,3,1,4,,4,2,22,1,The ones with the trains,"Ist es moral verwerflich den Mann der nher dran steht zu schubsen, um 4 ander Menschen for dem Tod zu retten, auch wenn es den Mann tten wird, der geschubst wird.",1,,1,11,0,7,7,7,7,6,5,5,6,0,10,40,78,,1,4348,A407Y,10.181,37.722,,26.051001,32.390999,9.5319996,5.198,15.553,16.789,8.6899996,27.283001,13.95,12.033,20.254,18.577999,16.681,10.628,32.556999,30.9,9.9399996
R_ewGA0PK8m1AT1qZ,Default Response Set,Anonymous,2,7,2,None,Yes,,0,7/20/16 2:32,7/20/16 3:14,1,Complete,1,,,,,,,,1,,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,4.1929998,48.917999,57.087002,2,26.749001,26.749001,28.285999,1,34.223999,34.223999,,,,38.903,40.18,1,40.207001,40.207001,43.515999,1,37.542999,37.542999,39.068001,1,76.780998,76.780998,78.124001,1,25.6,25.6,32.318001,1,42.310001,42.310001,48.383999,1,55.969002,55.969002,57.291,1,21.691,21.691,23.237,1,29.879999,30.948,36.098,2,22.239,22.239,24.044001,1,68.769997,68.769997,70.417999,1,50.09,50.09,51.526001,1,69.025002,79.372002,80.805,4,49.796001,96.670998,105.561,3,23.726,76.237,77.873001,2,34.112999,34.112999,54.740002,1,1.507,60.162998,61.110001,3,1,1,2,1,1,2,1,2,2,2,3,2,2,4,3,2,2,2,2,2,2,5,5,5,5,2,5,2,2,3,2,2,4,1,2,1,1,1,4,4,,1,23,1,"I remember 2 scenarios being exactly the same, but can't remember which one it was.","Ist es moralisch gesehen richtig, den in der Nhe stehenden Mann zu schubsen, um den Tod von vier anderen Menschen zu verhindern, obwohl das den Mann, den du geschubst hast, umbringen wrde?",1,,2,10,5,7,7,7,7,5,6,6,5,0,20,70,70,,1,4012,A379Y,57.087002,28.285999,,40.18,43.515999,39.068001,78.124001,32.318001,48.383999,57.291,23.237,36.098,24.044001,70.417999,51.526001,80.805,105.561,77.873001,54.740002,61.110001
R_3VPrmFX1uLPfqhn,Default Response Set,Anonymous,2,8,2,None,Yes,,0,7/20/16 2:40,7/20/16 3:20,1,Complete,1,,,,,,,1,1,,,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2,15.177,15.177,16.886,1,79.820999,79.820999,82.222,1,55.987999,55.987999,,,,63.952999,65.522003,1,40.054001,40.054001,41.555,1,17.511999,17.511999,19.118999,1,20.962999,20.962999,22.915001,1,81.736,81.736,83.737,1,74.667,74.667,77.299004,1,54.894001,54.894001,57.311001,1,26.493,26.493,28.191999,1,45.476002,45.476002,47.812,1,45.080002,45.080002,46.919998,1,46.98,46.98,48.692001,1,54.946999,54.946999,58.612,1,72.545998,72.545998,74.579002,1,43.933998,43.933998,45.937,1,51.247002,51.247002,53.727001,1,34.932999,34.932999,36.988998,1,52.436001,52.436001,54.757,1,3,4,4,5,4,4,4,4,3,4,4,4,2,4,3,4,4,3,4,4,2,4,4,4,5,3,4,4,4,3,4,4,4,2,3,4,4,3,5,,4,1,36,1,nothing,"Ist es moralisch richtig, den in der Nhe stehenden Mann zu opfern, um vier andere Menschen daran zu hindern zu sterben, obwohl der Mann gettet wird, den Sie gesto§en haben ?",1,,2,14,0,7,7,7,7,5,6,5,5,0,28,37,28,no,1,9442,A831Y,16.886,82.222,,65.522003,41.555,19.118999,22.915001,83.737,77.299004,57.311001,28.191999,47.812,46.919998,48.692001,58.612,74.579002,45.937,53.727001,36.988998,54.757
R_5yylHyqMysQPwq1,Default Response Set,Anonymous,2,9,2,None,Yes,,0,7/20/16 3:12,7/20/16 3:21,1,Complete,1,,,,,,,,1,,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2.6930001,4.1209998,4.5539999,2,3.0380001,3.0380001,3.487,1,2.2279999,2.9560001,,,,2.625,4.7179999,1,4.4679999,4.4679999,4.9039998,1,4.7880001,4.7880001,5.3179998,1,3.5969999,3.5969999,4.7360001,1,3.1400001,3.1400001,3.8269999,1,2.8010001,2.8010001,3.309,1,2.3310001,2.3310001,4.5469999,1,3.115,3.115,3.5350001,1,2.1140001,2.1140001,5.7249999,1,3.201,3.201,3.8429999,1,2.7739999,2.7739999,3.2279999,1,2.7260001,2.7260001,3.115,1,2.8959999,2.8959999,3.2420001,1,2.8239999,2.8239999,3.2079999,1,3.0969999,3.0969999,3.5350001,1,2.402,2.402,2.8970001,1,5.04,5.04,5.5809999,1,5,4,5,4,1,2,1,1,4,2,4,3,5,2,4,5,5,4,5,1,5,4,1,5,1,4,2,5,2,4,1,4,5,5,3,5,2,5,5,4,,1,34,2,,"Ist es moralisch korrekt, den nebenstehenden Mann zu sto§en, um vier andere Personen vor dem Tod zu retten, auch wenn das den Mann, den du gesto§en hast, tten wird?",1,,2,10,24,7,7,7,7,6,5,6,5,0,22,20,37,,1,4323,Z405Y,4.5539999,3.487,,4.7179999,4.9039998,5.3179998,4.7360001,3.8269999,3.309,4.5469999,3.5350001,5.7249999,3.8429999,3.2279999,3.115,3.2420001,3.2079999,3.5350001,2.8970001,5.5809999
R_07JhoL88SSLoMAd,Default Response Set,Anonymous,2,10,2,None,Yes,,0,7/20/16 2:54,7/20/16 3:22,1,Complete,1,,,,,,,1,1,,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,28.659,28.659,29.975,1,83.117996,83.117996,85.084999,1,48.081001,48.081001,,,,29.191999,30.535999,1,20.987,20.987,23.132,1,40.018002,40.018002,43.598999,1,37.063999,37.063999,38.174999,1,14.689,14.689,15.753,1,58.210999,58.210999,65.426003,1,47.391998,47.391998,49.004002,1,47.330002,47.330002,49.199001,1,22.462,22.462,23.448,1,14.451,14.451,19.417,1,29.096001,29.096001,41.75,1,49.858002,49.858002,51.456001,1,132.211,132.211,198.05499,1,22.233,22.233,23.188,1,34.292999,34.292999,35.179001,1,26.874001,26.874001,29.829,1,33.731998,33.731998,34.978001,1,3,4,3,2,3,2,1,3,3,4,3,3,4,2,2,4,3,1,1,5,5,4,2,4,2,4,4,3,2,2,3,2,3,2,2,3,3,3,3,4,,1,25,2,,"Ist es moralisch korrekt, einen nahestehenden Mann wegzusto§en um vier andere Leute vor dem Tod zu bewahren, auch wenn es den Mann den du weggesto§en hast tten wird?",1,,2,4,1,6,7,7,5,6,7,7,5,0,5,85,10,,1,5902,A536B,29.975,85.084999,,30.535999,23.132,43.598999,38.174999,15.753,65.426003,49.004002,49.199001,23.448,19.417,41.75,51.456001,198.05499,23.188,35.179001,29.829,34.978001
