V1,V2,V3,V4,V5,V7,V8,V9,V10,Source,Code,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,status,Native_1,Native_2,Native_3,Native_3_TEXT,Speak_1,Speak_2,Speak_5,Speak_5_TEXT,Home,MariaEN,AlexEN,Consent,Intro,ScenN1,ScenN2,ScenN3,ScenN4,ScenN5,ScenN6,ScenN7,ScenN8,ScenN9,ScenN10,ScenN11,ScenN12,ScenN13,ScenN14,ScenN15,ScenN16,ScenN17,ScenN18,ScenN19,ScenN20,Scenario1,Scenario2,Scenario3,Scenario4,Scenario5,Scenario6,Scenario7,Scenario8,Scenario9,Scenario10,Scenario11,Scenario12,Scenario13,Scenario14,Scenario15,Scenario16,Scenario17,Scenario18,Scenario19,Scenario20,dv1,dv3,dv5,dv7,dv9,dv11,dv13,dv15,dv17,dv19,dv2,dv4,dv6,dv8,dv10,dv12,dv14,dv16,dv18,dv20,time_11,time_21,time_31,time_41,time_12,time_22,time_32,time_42,time_13,time_23,time_33,time_43,time_14,time_24,time_34,time_44,time_15,time_25,time_35,time_45,time_16,time_26,time_36,time_46,time_17,time_27,time_37,time_47,time_18,time_28,time_38,time_48,time_19,time_29,time_39,time_49,time_110,time_210,time_310,time_410,time_111,time_211,time_311,time_411,time_112,time_212,time_312,time_412,time_113,time_213,time_313,time_413,time_114,time_214,time_314,time_414,time_115,time_215,time_315,time_415,time_116,time_216,time_316,time_416,time_117,time_217,time_317,time_417,time_118,time_218,time_318,time_418,time_119,time_219,time_319,time_419,time_120,time_220,time_320,time_420,Q42,Q44,gender,age_1,familiar,familiar2,Q36,Q47,Q47_TEXT,Q49,Q51_1,Q53_1,Q55_1,Q55_2,Q55_3,Q55_4,Q55_5,Q55_6,Q55_7,Q55_8,Q57_1,Q57_2,Q57_3,Q57_4,comments,Q31,Include
ResponseID,ResponseSet,Name,SID,Language,,StartDate,EndDate,Finished,Source,Code,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,status,What is your native language?-German,What is your native language?-English,What is your native language?-Other,What is your native language?-Other-TEXT,What languages do you speak at an intermediate level or above? -German,What languages do you speak at an intermediate level or above? -English,What languages do you speak at an intermediate level or above? -Other,What languages do you speak at an intermediate level or above? -Other-TEXT,"Growing up, did you use a lot of English at home?",Please read the text below and answer the question. Maria is a student at a university. She recei...,Please read the text below and answer the question. Adam is a cashier at a mall. He is very good...,Agreement to Participate in Research You are invited to participate in a research study.Ê Duratio...,On the following screens you will see a series of 20 scenarios. Please read them carefully. Even...,Scenario: ${lm://CurrentLoopNumber} of 20 (1),Scenario: ${lm://CurrentLoopNumber} of 20 (2),Scenario: ${lm://CurrentLoopNumber} of 20 (3),Scenario: ${lm://CurrentLoopNumber} of 20 (4),Scenario: ${lm://CurrentLoopNumber} of 20 (5),Scenario: ${lm://CurrentLoopNumber} of 20 (6),Scenario: ${lm://CurrentLoopNumber} of 20 (7),Scenario: ${lm://CurrentLoopNumber} of 20 (8),Scenario: ${lm://CurrentLoopNumber} of 20 (9),Scenario: ${lm://CurrentLoopNumber} of 20 (10),Scenario: ${lm://CurrentLoopNumber} of 20 (11),Scenario: ${lm://CurrentLoopNumber} of 20 (12),Scenario: ${lm://CurrentLoopNumber} of 20 (13),Scenario: ${lm://CurrentLoopNumber} of 20 (14),Scenario: ${lm://CurrentLoopNumber} of 20 (15),Scenario: ${lm://CurrentLoopNumber} of 20 (16),Scenario: ${lm://CurrentLoopNumber} of 20 (17),Scenario: ${lm://CurrentLoopNumber} of 20 (18),Scenario: ${lm://CurrentLoopNumber} of 20 (19),Scenario: ${lm://CurrentLoopNumber} of 20 (20),Imagine the following: ${lm://Field/3} (1),Imagine the following: ${lm://Field/3} (2),Imagine the following: ${lm://Field/3} (3),Imagine the following: ${lm://Field/3} (4),Imagine the following: ${lm://Field/3} (5),Imagine the following: ${lm://Field/3} (6),Imagine the following: ${lm://Field/3} (7),Imagine the following: ${lm://Field/3} (8),Imagine the following: ${lm://Field/3} (9),Imagine the following: ${lm://Field/3} (10),Imagine the following: ${lm://Field/3} (11),Imagine the following: ${lm://Field/3} (12),Imagine the following: ${lm://Field/3} (13),Imagine the following: ${lm://Field/3} (14),Imagine the following: ${lm://Field/3} (15),Imagine the following: ${lm://Field/3} (16),Imagine the following: ${lm://Field/3} (17),Imagine the following: ${lm://Field/3} (18),Imagine the following: ${lm://Field/3} (19),Imagine the following: ${lm://Field/3} (20),I_cargo,I_torture,I_air show,I_motocross,I_wood press,I_transplant,I_vaccine,I_grizzly,I_nurse,I_footbridge,C_cargo,C_torture,C_air show,C_motocross,C_wood press,C_transplant,C_vaccine,C_grizzly,C_nurse,C_footbridge,Timing (1)-First Click,Timing (1)-Last Click,"Timing (1)-#QuestionText, TimingPageSubmit#","Timing (1)-#QuestionText, TimingClickCount#",Timing (2)-First Click,Timing (2)-Last Click,"Timing (2)-#QuestionText, TimingPageSubmit#","Timing (2)-#QuestionText, TimingClickCount#",Timing (3)-First Click,Timing (3)-Last Click,"Timing (3)-#QuestionText, TimingPageSubmit#","Timing (3)-#QuestionText, TimingClickCount#",Timing (4)-First Click,Timing (4)-Last Click,"Timing (4)-#QuestionText, TimingPageSubmit#","Timing (4)-#QuestionText, TimingClickCount#",Timing (5)-First Click,Timing (5)-Last Click,"Timing (5)-#QuestionText, TimingPageSubmit#","Timing (5)-#QuestionText, TimingClickCount#",Timing (6)-First Click,Timing (6)-Last Click,"Timing (6)-#QuestionText, TimingPageSubmit#","Timing (6)-#QuestionText, TimingClickCount#",Timing (7)-First Click,Timing (7)-Last Click,"Timing (7)-#QuestionText, TimingPageSubmit#","Timing (7)-#QuestionText, TimingClickCount#",Timing (8)-First Click,Timing (8)-Last Click,"Timing (8)-#QuestionText, TimingPageSubmit#","Timing (8)-#QuestionText, TimingClickCount#",Timing (9)-First Click,Timing (9)-Last Click,"Timing (9)-#QuestionText, TimingPageSubmit#","Timing (9)-#QuestionText, TimingClickCount#",Timing (10)-First Click,Timing (10)-Last Click,"Timing (10)-#QuestionText, TimingPageSubmit#","Timing (10)-#QuestionText, TimingClickCount#",Timing (11)-First Click,Timing (11)-Last Click,"Timing (11)-#QuestionText, TimingPageSubmit#","Timing (11)-#QuestionText, TimingClickCount#",Timing (12)-First Click,Timing (12)-Last Click,"Timing (12)-#QuestionText, TimingPageSubmit#","Timing (12)-#QuestionText, TimingClickCount#",Timing (13)-First Click,Timing (13)-Last Click,"Timing (13)-#QuestionText, TimingPageSubmit#","Timing (13)-#QuestionText, TimingClickCount#",Timing (14)-First Click,Timing (14)-Last Click,"Timing (14)-#QuestionText, TimingPageSubmit#","Timing (14)-#QuestionText, TimingClickCount#",Timing (15)-First Click,Timing (15)-Last Click,"Timing (15)-#QuestionText, TimingPageSubmit#","Timing (15)-#QuestionText, TimingClickCount#",Timing (16)-First Click,Timing (16)-Last Click,"Timing (16)-#QuestionText, TimingPageSubmit#","Timing (16)-#QuestionText, TimingClickCount#",Timing (17)-First Click,Timing (17)-Last Click,"Timing (17)-#QuestionText, TimingPageSubmit#","Timing (17)-#QuestionText, TimingClickCount#",Timing (18)-First Click,Timing (18)-Last Click,"Timing (18)-#QuestionText, TimingPageSubmit#","Timing (18)-#QuestionText, TimingClickCount#",Timing (19)-First Click,Timing (19)-Last Click,"Timing (19)-#QuestionText, TimingPageSubmit#","Timing (19)-#QuestionText, TimingClickCount#",Timing (20)-First Click,Timing (20)-Last Click,"Timing (20)-#QuestionText, TimingPageSubmit#","Timing (20)-#QuestionText, TimingClickCount#",Bitte lesen Sie den untenstehenden Text und beantworten Sie die Frage.Ê Ê Maria ist eine Studenti...,Bitte lesen Sie den untenstehenden Text und beantworten Sie die Frage.Ê Adam ist Kassierer in ein...,Please indicate your gender: ,How old are you?-years old,Did any of the scenarios seem familiar to you?,Which ones?,Please translate the following statement into GERMAN:Ê Is it morally correct to push the nearby m...,What is your country of origin? ,What is your country of origin? -TEXT,What was the method of your English acquisition?,How old were you when you began learning English in a meaningful way?-years old,How many months have you spent in an English speaking country?-months,Please use the sliders to indicate how proficient you are at:-Speaking GERMAN,Please use the sliders to indicate how proficient you are at:-Listening to GERMAN,Please use the sliders to indicate how proficient you are at:-Reading GERMAN,Please use the sliders to indicate how proficient you are at:-Writing GERMAN,Please use the sliders to indicate how proficient you are at:-Speaking ENGLISH,Please use the sliders to indicate how proficient you are at:-Listening to ENGLISH,Please use the sliders to indicate how proficient you are at:-Reading ENGLISH,Please use the sliders to indicate how proficient you are at:-Writing ENGLISH,"In each of the following contexts, estimate what percent of the time you use English(%)-With your family","In each of the following contexts, estimate what percent of the time you use English(%)-With your friends","In each of the following contexts, estimate what percent of the time you use English(%)-When reading (books, newspapers, etc)","In each of the following contexts, estimate what percent of the time you use English(%)-When watching TV or listening to the radio","Finally, any questions, comments, or suggestions for this study?",Thank you for your participation! This is your completion code: ${e://Field/Code} You will not be...,Include
R_2S19MRK3s2CFr7b,Default Response Set,Anonymous,1,2,,9/8/16 5:09,9/8/16 5:29,1,1146,A140B,I_footbridge,C_motocross,I_nurse,C_air show,I_motocross,C_torture,I_air show,C_cargo,C_grizzly,I_vaccine,I_grizzly,I_wood press,C_wood press,I_torture,I_transplant,C_transplant,C_vaccine,C_nurse,C_footbridge,I_cargo,complete,1,,,,1,1,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,4.693,16.022,17.405,3,11.066,41.415,43.183,3,15.499,16.993,18.585,2,3.266,48.06,49.122,5,6.365,24.125,25.628,3,3.206,43.064,49.415,6,6.356,21.566,23.438,5,35.461,52.826,62.483,5,4.486,68.538,69.938,3,2.874,23.14,24.391,8,2.476,32.394,33.943,9,2.152,9.679,11.651,4,33.502,35.058,35.987,2,6.638,18.953,20.404,5,13.992,15.926,17.608,2,5.436,42.579,43.978,4,5.668,48.107,49.284,4,1.822,20.088,25.645,7,8.535,43.341,44.6,4,15.032,36.054,37.362,2,,4,1,25,2,,"Ist es moralisch in Ordnung, den nebenstehenden Mann zu schubsen, um vier anderen Menschen das Leben zu retten?",1,,1,10,3,7,7,6,7,5,7,7,5,10,30,75,60,,1,1
R_3KVn8Cu2FSh4REx,Default Response Set,Anonymous,2,2,,9/8/16 5:16,9/8/16 5:34,1,4372,A409Y,C_torture,C_motocross,I_cargo,C_footbridge,I_torture,I_air show,C_cargo,C_grizzly,I_motocross,C_transplant,I_grizzly,C_wood press,C_vaccine,I_vaccine,C_nurse,I_nurse,I_footbridge,C_air show,I_transplant,I_wood press,complete,1,,,,,1,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,46.896,48.096,50.959,2,44.24,44.24,45.37,1,21.601,21.875,23.174,2,39.915,39.915,40.831,1,36.675,36.675,37.81,1,32.265,32.265,33.442,1,24.795,24.795,26.791,1,38.991,38.991,39.792,1,45.242,46.432,47.484,2,52.873,52.873,54.723,1,21.4,21.4,22.181,1,32.945,32.945,33.704,1,20.459,20.459,21.248,1,22.888,22.888,23.836,1,33.482,33.482,35.313,1,40.868,40.868,41.645,1,20.87,20.87,21.693,1,29.057,29.057,29.809,1,26.351,26.351,27.28,1,35.943,35.943,36.842,1,,4,2,30,2,,"Es ist moralisch korrekt, den Mann in der Nhe zu schupsen, um zu verhindern, dass vier andere Leute sterben.",1,,3,11,0,7,7,7,7,2,7,7,2,0,10,90,70,,1,1
R_2rSHVWNMQHhbIhO,Default Response Set,Anonymous,3,2,,9/8/16 5:25,9/8/16 5:39,1,8968,A792B,I_nurse,I_vaccine,C_transplant,C_torture,I_air show,C_motocross,C_vaccine,I_grizzly,I_wood press,I_torture,C_grizzly,C_footbridge,I_cargo,I_footbridge,C_cargo,I_motocross,C_nurse,C_air show,I_transplant,C_wood press,complete,1,,,,,1,1,French,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,10.516,25.033,26.101,5,3.195,12.992,14.423,2,19.705,26.487,27.962,7,30.321,30.321,31.869,1,30.807,34.813,36.21,2,14.803,20.561,22.119,5,6.713,16.287,18.095,5,10.518,32.636,35.691,5,12.513,31.402,32.988,7,23.572,28.354,30.453,3,10.214,10.214,12.167,1,8.289,27.447,29.182,2,12.74,14.909,16.907,2,27.668,27.668,30.597,1,36.489,38.556,40.045,2,3.033,15.438,21.945,2,20.518,43.541,45.498,3,16.475,16.475,19.231,1,11.152,18.522,19.594,5,13.59,24.079,25.037,5,4,,2,27,2,,"Ist es moralisch korrekt einen in der Nhre stehenden Mann zu sto§en, um zu verhindern, dass vier andere Menschen sterben?",1,,2,10,40,7,7,7,7,6,6,6,6,0,30,81,80,,1,1
R_1pVHaZ3A9lDof6l,Default Response Set,Anonymous,4,2,,9/8/16 5:20,9/8/16 5:40,1,9319,Z821Y,I_nurse,C_cargo,C_motocross,I_footbridge,I_grizzly,C_torture,C_air show,I_vaccine,I_air show,C_nurse,I_torture,C_transplant,I_wood press,C_vaccine,I_cargo,C_footbridge,I_motocross,C_wood press,C_grizzly,I_transplant,complete,1,,,,1,1,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,35.527,35.527,49.744,1,40.856,40.856,43.753,1,16.764,16.764,19.151,1,32.46,32.46,40.003,1,30.91,30.91,37.652,1,44.265,44.265,45.429,1,13.476,13.476,17.304,1,34.614,34.614,35.531,1,32.524,32.524,36.734,1,19.078,19.078,29.467,1,9.898,10.44,22.582,2,15.012,15.012,26.802,1,17.507,17.507,31.118,1,18.036,18.036,20.252,1,111.277,111.277,113.241,1,14.143,14.143,24.223,1,88.359,88.359,89.586,1,53.779,53.779,62.685,1,28.064,28.064,29.074,1,23.814,23.814,25.672,1,,4,1,28,2,,Ist es moralisch vertretbar den Mann in der Nhe zu schubsen um den Tod von vier anderen Menschen zu vermeiden?,1,,1,11,0,7,7,7,7,6,6,6,6,0,10,29,50,,1,1
R_x4WZ6a53x144npD,Default Response Set,Anonymous,5,2,,9/8/16 5:28,9/8/16 5:43,1,1023,Z130B,C_transplant,C_nurse,I_motocross,I_wood press,I_transplant,C_wood press,I_footbridge,I_air show,I_nurse,I_vaccine,C_torture,C_air show,C_vaccine,C_grizzly,C_footbridge,C_cargo,I_torture,I_grizzly,I_cargo,C_motocross,complete,1,,,,,1,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,7.555,7.555,8.829,1,63.084,63.084,64.539,1,14.615,14.615,15.968,1,28.996,28.996,39.125,1,23.738,23.738,25.093,1,20.729,20.729,21.812,1,37.303,37.303,38.602,1,15.959,16.064,17.367,2,36.929,36.929,38.118,1,31.494,31.494,34.615,1,16.069,16.069,17.239,1,22.634,22.634,23.909,1,16.464,16.464,17.938,1,24.56,24.704,31.087,2,20.472,20.472,22.931,1,34.403,34.403,41.216,1,28.226,28.226,29.285,1,24.924,24.956,26.488,2,40.384,40.384,41.738,1,22.743,22.743,24.251,1,,4,1,19,1,The one with the train and four workers/one worker was discussed in class,"Ist es moralisch korrekt den nher gelegenen Mann zu sto§en, um die vier anderen vor dem Tod zu bewahren?",1,,2,5,0,5,7,7,6,6,7,7,6,3,5,30,62,,1,1
R_bd9GWb4XURwaUIV,Default Response Set,Anonymous,6,2,,9/8/16 5:21,9/8/16 5:44,1,7487,Z668B,I_nurse,C_torture,I_wood press,I_vaccine,C_footbridge,C_wood press,I_motocross,I_footbridge,C_vaccine,I_grizzly,I_torture,C_nurse,I_cargo,I_transplant,C_cargo,C_transplant,I_air show,C_grizzly,C_air show,C_motocross,complete,1,,,,1,1,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,2,2,2,2,2,2,2,2,2,1,2,49.014,49.014,50,1,12.626,40.653,41.529,2,24.024,24.024,24.863,1,57.873,82.038,83.01,3,38.738,38.738,39.7,1,23.437,23.437,24.259,1,37.96,37.96,39.045,1,30.794,30.794,31.595,1,75.58,75.58,76.755,1,40.736,40.736,41.721,1,24.699,24.699,25.387,1,14.753,14.753,15.639,1,44.556,44.556,45.436,1,26.325,26.325,27.273,1,127.314,127.314,128.268,1,36.732,36.732,37.858,1,39.258,39.258,50.014,1,27.575,29.062,29.982,3,28.647,28.647,29.925,1,46.826,46.826,47.832,1,,4,2,33,2,,"Es ist moralisch korrekt den Mann in der Nhe zu sto§en, um zu verhindern, dass vier andere Menschen sterben.",1,,1,11,0,7,7,7,7,3,5,2,3,0,0,9,4,,1,1
R_21HuITQN4TO3WUv,Default Response Set,Anonymous,7,2,,9/8/16 5:31,9/8/16 5:50,1,938,A123Y,C_transplant,I_air show,I_motocross,C_grizzly,I_cargo,C_cargo,I_wood press,I_nurse,C_nurse,I_grizzly,C_vaccine,C_footbridge,C_torture,I_torture,I_footbridge,I_vaccine,C_air show,C_wood press,I_transplant,C_motocross,complete,1,,,,,1,1,C1,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,35.866,35.866,38.243,1,29.594,29.594,32.179,1,13.525,13.525,14.829,1,31.875,31.875,34.193,1,48.183,48.183,49.454,1,29.347,29.347,30.462,1,62.505,62.505,64.055,1,22.852,22.852,23.959,1,42.281,42.281,43.704,1,29.401,29.401,31.929,1,16.081,16.081,17.513,1,31.63,31.63,33.26,1,19.76,19.76,21.248,1,26.042,26.042,31.749,1,36.582,36.582,38.077,1,44.654,44.654,46.801,1,37.288,37.288,38.48,1,19.831,19.831,21.282,1,24.466,24.466,25.7,1,34.385,34.385,36.02,1,4,,2,25,1,All of them or some that are alike from Philosophie Class,Es ist moralisch korrekt den Mann in der Nhe zu schubsen um zu verhindern das vier andere Menschen sterben.,1,,2,11,1,7,7,7,7,6,6,6,4,10,30,28,83,,1,1
R_2YDKLKFEICN2HGD,Default Response Set,Anonymous,8,2,,9/8/16 5:37,9/8/16 5:53,1,4032,A381Y,C_cargo,I_grizzly,C_air show,I_motocross,I_vaccine,C_motocross,C_grizzly,I_wood press,C_wood press,C_footbridge,I_cargo,C_vaccine,I_torture,I_transplant,C_transplant,C_torture,I_footbridge,I_nurse,I_air show,C_nurse,complete,1,,,,1,1,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,22.149,22.149,25.102,1,7.538,45.876,49.302,4,4.657,62.312,64.838,4,21.929,21.929,24.452,1,2.682,26.618,27.529,2,2.931,33.307,34.812,4,2.232,34.571,35.553,2,6.771,36.546,38.812,4,5.58,52.716,53.678,4,8.786,8.786,9.748,1,2.965,25.046,25.905,2,8.098,8.098,11.622,1,1.947,38.955,40.005,4,2.94,20.931,21.799,2,3.013,48.838,50.161,2,14.517,34.883,35.254,3,8.946,45.778,46.497,4,29.303,29.303,30.152,1,19.459,19.459,20.331,1,7.472,28.881,30.177,2,,4,2,34,2,,"Ist es moralisch korrekt, den Mann in der Nhe zu schubsen, wenn man damit vier Personen vorm Tod bewahrt?",1,,1,10,6,7,7,7,7,5,6,6,6,0,0,17,9,,1,1
R_1mrDr3rUeOezjaQ,Default Response Set,Anonymous,9,2,,9/8/16 5:41,9/8/16 5:53,1,3535,Z339Y,I_cargo,I_nurse,I_motocross,I_transplant,C_nurse,I_wood press,C_vaccine,C_wood press,C_transplant,C_torture,C_cargo,C_air show,C_grizzly,I_air show,I_footbridge,I_torture,C_motocross,I_grizzly,I_vaccine,C_footbridge,complete,1,,,,,1,1,Spanish,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30.807,30.807,32.197,1,4.651,4.651,5.771,1,5.105,5.105,6.151,1,30.64,30.64,31.95,1,4.605,4.605,5.546,1,33.74,33.74,35.124,1,24.631,24.631,25.88,1,5.061,5.061,6.036,1,48.392,48.392,49.68,1,13.623,13.623,18.291,1,29.826,29.826,31.167,1,8.796,8.796,10.197,1,6.668,6.668,7.944,1,18.385,18.385,19.617,1,3.724,3.724,5.587,1,35.613,35.613,37.162,1,27.418,27.418,28.499,1,18.385,18.385,20.134,1,18.48,18.48,19.602,1,4.17,4.17,5.52,1,,4,1,48,1,the duck hunter who is considerung weather or not to shoot at the airplane which is loosing a wing,"Ist es moralisch vertretbar, die nchststehende Person (auf die Gleise) zu sto§en, um zu verhindern, dass andere Personen ihr Leben verlieren",1,,2,18,12,7,7,7,7,5,5,7,6,0,42,70,55,no,1,1
