V1,V2,V3,V4,V5,V7,V8,V9,V10,Include,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,status,Native_1,Native_2,Native_3,Native_3_TEXT,Speak_1,Speak_2,Speak_5,Speak_5_TEXT,Home,MariaEN,AlexEN,Consent,Intro,ScenN1,ScenN2,ScenN3,ScenN4,ScenN5,ScenN6,ScenN7,ScenN8,ScenN9,ScenN10,ScenN11,ScenN12,ScenN13,ScenN14,ScenN15,ScenN16,ScenN17,ScenN18,ScenN19,ScenN20,Scenario1,Scenario2,Scenario3,Scenario4,Scenario5,Scenario6,Scenario7,Scenario8,Scenario9,Scenario10,Scenario11,Scenario12,Scenario13,Scenario14,Scenario15,Scenario16,Scenario17,Scenario18,Scenario19,Scenario20,dv1,dv3,dv5,dv7,dv9,dv11,dv13,dv15,dv17,dv19,dv2,dv4,dv6,dv8,dv10,dv12,dv14,dv16,dv18,dv20,time_11,time_21,time_31,time_41,time_12,time_22,time_32,time_42,time_13,time_23,time_33,time_43,time_14,time_24,time_34,time_44,time_15,time_25,time_35,time_45,time_16,time_26,time_36,time_46,time_17,time_27,time_37,time_47,time_18,time_28,time_38,time_48,time_19,time_29,time_39,time_49,time_110,time_210,time_310,time_410,time_111,time_211,time_311,time_411,time_112,time_212,time_312,time_412,time_113,time_213,time_313,time_413,time_114,time_214,time_314,time_414,time_115,time_215,time_315,time_415,time_116,time_216,time_316,time_416,time_117,time_217,time_317,time_417,time_118,time_218,time_318,time_418,time_119,time_219,time_319,time_419,time_120,time_220,time_320,time_420,Q42,Q44,gender,age_1,familiar,familiar2,Q36,Q47,Q47_TEXT,Q49,Q51_1,Q53_1,Q55_1,Q55_2,Q55_3,Q55_4,Q55_5,Q55_6,Q55_7,Q55_8,Q57_1,Q57_2,Q57_3,Q57_4,comments
ResponseID,ResponseSet,Name,SID,Language,,StartDate,EndDate,Finished,Include,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,status,What is your native language?-German,What is your native language?-English,What is your native language?-Other,What is your native language?-Other-TEXT,What languages do you speak at an intermediate level or above? -German,What languages do you speak at an intermediate level or above? -English,What languages do you speak at an intermediate level or above? -Other,What languages do you speak at an intermediate level or above? -Other-TEXT,"Growing up, did you use a lot of English at home?",Please read the text below and answer the question. Maria is a student at a university. She recei...,Please read the text below and answer the question. Adam is a cashier at a mall. He is very good...,Agreement to Participate in Research You are invited to participate in a research study.Ê Duratio...,On the following screens you will see a series of 20 scenarios. Please read them carefully. Even...,Scenario: ${lm://CurrentLoopNumber} of 20 (1),Scenario: ${lm://CurrentLoopNumber} of 20 (2),Scenario: ${lm://CurrentLoopNumber} of 20 (3),Scenario: ${lm://CurrentLoopNumber} of 20 (4),Scenario: ${lm://CurrentLoopNumber} of 20 (5),Scenario: ${lm://CurrentLoopNumber} of 20 (6),Scenario: ${lm://CurrentLoopNumber} of 20 (7),Scenario: ${lm://CurrentLoopNumber} of 20 (8),Scenario: ${lm://CurrentLoopNumber} of 20 (9),Scenario: ${lm://CurrentLoopNumber} of 20 (10),Scenario: ${lm://CurrentLoopNumber} of 20 (11),Scenario: ${lm://CurrentLoopNumber} of 20 (12),Scenario: ${lm://CurrentLoopNumber} of 20 (13),Scenario: ${lm://CurrentLoopNumber} of 20 (14),Scenario: ${lm://CurrentLoopNumber} of 20 (15),Scenario: ${lm://CurrentLoopNumber} of 20 (16),Scenario: ${lm://CurrentLoopNumber} of 20 (17),Scenario: ${lm://CurrentLoopNumber} of 20 (18),Scenario: ${lm://CurrentLoopNumber} of 20 (19),Scenario: ${lm://CurrentLoopNumber} of 20 (20),Imagine the following: ${lm://Field/3} (1),Imagine the following: ${lm://Field/3} (2),Imagine the following: ${lm://Field/3} (3),Imagine the following: ${lm://Field/3} (4),Imagine the following: ${lm://Field/3} (5),Imagine the following: ${lm://Field/3} (6),Imagine the following: ${lm://Field/3} (7),Imagine the following: ${lm://Field/3} (8),Imagine the following: ${lm://Field/3} (9),Imagine the following: ${lm://Field/3} (10),Imagine the following: ${lm://Field/3} (11),Imagine the following: ${lm://Field/3} (12),Imagine the following: ${lm://Field/3} (13),Imagine the following: ${lm://Field/3} (14),Imagine the following: ${lm://Field/3} (15),Imagine the following: ${lm://Field/3} (16),Imagine the following: ${lm://Field/3} (17),Imagine the following: ${lm://Field/3} (18),Imagine the following: ${lm://Field/3} (19),Imagine the following: ${lm://Field/3} (20),I_cargo,I_torture,I_air show,I_motocross,I_wood press,I_transplant,I_vaccine,I_grizzly,I_nurse,I_footbridge,C_cargo,C_torture,C_air show,C_motocross,C_wood press,C_transplant,C_vaccine,C_grizzly,C_nurse,C_footbridge,Timing (1)-First Click,Timing (1)-Last Click,"Timing (1)-#QuestionText, TimingPageSubmit#","Timing (1)-#QuestionText, TimingClickCount#",Timing (2)-First Click,Timing (2)-Last Click,"Timing (2)-#QuestionText, TimingPageSubmit#","Timing (2)-#QuestionText, TimingClickCount#",Timing (3)-First Click,Timing (3)-Last Click,"Timing (3)-#QuestionText, TimingPageSubmit#","Timing (3)-#QuestionText, TimingClickCount#",Timing (4)-First Click,Timing (4)-Last Click,"Timing (4)-#QuestionText, TimingPageSubmit#","Timing (4)-#QuestionText, TimingClickCount#",Timing (5)-First Click,Timing (5)-Last Click,"Timing (5)-#QuestionText, TimingPageSubmit#","Timing (5)-#QuestionText, TimingClickCount#",Timing (6)-First Click,Timing (6)-Last Click,"Timing (6)-#QuestionText, TimingPageSubmit#","Timing (6)-#QuestionText, TimingClickCount#",Timing (7)-First Click,Timing (7)-Last Click,"Timing (7)-#QuestionText, TimingPageSubmit#","Timing (7)-#QuestionText, TimingClickCount#",Timing (8)-First Click,Timing (8)-Last Click,"Timing (8)-#QuestionText, TimingPageSubmit#","Timing (8)-#QuestionText, TimingClickCount#",Timing (9)-First Click,Timing (9)-Last Click,"Timing (9)-#QuestionText, TimingPageSubmit#","Timing (9)-#QuestionText, TimingClickCount#",Timing (10)-First Click,Timing (10)-Last Click,"Timing (10)-#QuestionText, TimingPageSubmit#","Timing (10)-#QuestionText, TimingClickCount#",Timing (11)-First Click,Timing (11)-Last Click,"Timing (11)-#QuestionText, TimingPageSubmit#","Timing (11)-#QuestionText, TimingClickCount#",Timing (12)-First Click,Timing (12)-Last Click,"Timing (12)-#QuestionText, TimingPageSubmit#","Timing (12)-#QuestionText, TimingClickCount#",Timing (13)-First Click,Timing (13)-Last Click,"Timing (13)-#QuestionText, TimingPageSubmit#","Timing (13)-#QuestionText, TimingClickCount#",Timing (14)-First Click,Timing (14)-Last Click,"Timing (14)-#QuestionText, TimingPageSubmit#","Timing (14)-#QuestionText, TimingClickCount#",Timing (15)-First Click,Timing (15)-Last Click,"Timing (15)-#QuestionText, TimingPageSubmit#","Timing (15)-#QuestionText, TimingClickCount#",Timing (16)-First Click,Timing (16)-Last Click,"Timing (16)-#QuestionText, TimingPageSubmit#","Timing (16)-#QuestionText, TimingClickCount#",Timing (17)-First Click,Timing (17)-Last Click,"Timing (17)-#QuestionText, TimingPageSubmit#","Timing (17)-#QuestionText, TimingClickCount#",Timing (18)-First Click,Timing (18)-Last Click,"Timing (18)-#QuestionText, TimingPageSubmit#","Timing (18)-#QuestionText, TimingClickCount#",Timing (19)-First Click,Timing (19)-Last Click,"Timing (19)-#QuestionText, TimingPageSubmit#","Timing (19)-#QuestionText, TimingClickCount#",Timing (20)-First Click,Timing (20)-Last Click,"Timing (20)-#QuestionText, TimingPageSubmit#","Timing (20)-#QuestionText, TimingClickCount#",Bitte lesen Sie den untenstehenden Text und beantworten Sie die Frage.Ê Ê Maria ist eine Studenti...,Bitte lesen Sie den untenstehenden Text und beantworten Sie die Frage.Ê Adam ist Kassierer in ein...,Please indicate your gender: ,How old are you?-years old,Did any of the scenarios seem familiar to you?,Which ones?,Please translate the following statement into GERMAN:Ê Is it morally correct to push the nearby m...,What is your country of origin? ,What is your country of origin? -TEXT,What was the method of your English acquisition?,How old were you when you began learning English in a meaningful way?-years old,How many months have you spent in an English speaking country?-months,Please use the sliders to indicate how proficient you are at:-Speaking GERMAN,Please use the sliders to indicate how proficient you are at:-Listening to GERMAN,Please use the sliders to indicate how proficient you are at:-Reading GERMAN,Please use the sliders to indicate how proficient you are at:-Writing GERMAN,Please use the sliders to indicate how proficient you are at:-Speaking ENGLISH,Please use the sliders to indicate how proficient you are at:-Listening to ENGLISH,Please use the sliders to indicate how proficient you are at:-Reading ENGLISH,Please use the sliders to indicate how proficient you are at:-Writing ENGLISH,"In each of the following contexts, estimate what percent of the time you use English(%)-With your family","In each of the following contexts, estimate what percent of the time you use English(%)-With your friends","In each of the following contexts, estimate what percent of the time you use English(%)-When reading (books, newspapers, etc)","In each of the following contexts, estimate what percent of the time you use English(%)-When watching TV or listening to the radio","Finally, any questions, comments, or suggestions for this study?"
R_9ERGG5mRDlFu1tH,Default Response Set,Anonymous,1,1,0,9/19/16 12:41,9/19/16 12:57,1,1,I_footbridge,C_transplant,C_torture,I_nurse,I_air show,C_nurse,I_wood press,I_grizzly,C_air show,C_motocross,C_cargo,I_motocross,I_transplant,C_vaccine,I_vaccine,I_torture,C_grizzly,I_cargo,C_footbridge,C_wood press,complete,,1,,,1,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11.061,11.061,12.376,1,18.069,18.069,19.503,1,15.491,15.491,16.396,1,20.46,20.46,21.773,1,21.34,21.34,22.652,1,22.242,22.242,23.79,1,12.835,12.835,14.257,1,15.748,15.748,17.045,1,20.82,20.82,22.295,1,13.986,13.986,15.276,1,11.359,11.359,12.793,1,31.124,31.124,32.942,1,9.348,9.348,10.627,1,11.505,11.505,12.767,1,23.447,23.447,24.686,1,18.26,18.26,19.236,1,34.183,34.183,35.76,1,19.104,19.104,20.744,1,23.154,23.154,25.274,1,15.66,15.66,16.943,1,4,,2,26,1,All situations were variations on a standard moral predicament reminiscent of utilitarian quandries. ,"Ist es moralisch korrekt, den nah stehenden Mann zu sto§en, um den Tod vier anderen Menschen zu verhindern?",1,,2,13,20,7,7,7,7,7,7,7,7,0,75,62,33,It was highly pedantic.
R_ebKHWDtbSCFlbpj,Default Response Set,Anonymous,2,1,0,9/19/16 18:17,9/19/16 18:26,1,1,C_cargo,C_wood press,I_nurse,C_air show,I_footbridge,C_vaccine,C_nurse,I_wood press,I_vaccine,C_motocross,C_footbridge,C_transplant,C_grizzly,I_air show,I_transplant,I_grizzly,I_cargo,C_torture,I_torture,I_motocross,complete,,1,,,1,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,3.434,3.434,9.16,1,13.522,13.522,14.511,1,4.22,4.22,5.778,1,3.292,3.292,4.186,1,3.673,3.673,4.657,1,11.627,11.627,12.468,1,1.559,1.956,2.889,2,11.347,11.347,12.392,1,11.279,11.279,12.534,1,16.113,16.113,17.476,1,2.397,2.397,6.95,1,4.932,4.932,7.517,1,8.043,8.043,9.336,1,8.761,8.761,10.288,1,2.603,2.603,3.826,1,7.947,7.947,9.286,1,62.031,62.031,64.428,1,8.966,8.966,11.086,1,8.973,8.973,10.505,1,3.034,3.034,7.509,1,,4,1,26,1,All of them.,"Ist es moralisch korrekt einen nahen Mann zu sto§en, um vier andere Leute vom Sterben zu retten?",1,,2,18,12,7,7,7,7,4,6,7,4,0,9,30,11,
R_bmCt4yJnP26yRdH,Default Response Set,Anonymous,3,1,0,9/21/16 9:34,9/21/16 9:47,1,1,C_wood press,I_grizzly,C_cargo,C_grizzly,I_wood press,I_torture,C_vaccine,I_nurse,I_footbridge,C_air show,I_air show,C_footbridge,I_cargo,I_transplant,I_vaccine,C_transplant,I_motocross,C_motocross,C_nurse,C_torture,complete,,1,,,1,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,14.059,14.059,15.556,1,24.29,24.29,25.663,1,19.509,19.509,21.671,1,24.247,24.247,25.703,1,17.149,21.017,22.606,2,18.711,18.711,20.186,1,18.968,18.968,22.039,1,17.776,17.776,19.191,1,16.19,16.19,19.145,1,33.381,33.381,36.272,1,11.314,11.314,12.63,1,10.234,10.234,11.813,1,8.399,8.399,9.601,1,17.201,17.201,18.387,1,47.698,47.698,48.619,1,18.472,18.472,20.352,1,17.082,17.082,18.672,1,9.097,9.097,10.695,1,14.993,14.993,16.097,1,23.753,23.753,25.048,1,,4,1,21,1,The train scenario.,"Ist es moralisch rechtfertigt, den nebenstehenden Mann zu schieben, um den Tod vier anderen zu vermeiden?",1,,2,19,9,7,7,7,7,5,6,5,5,0,10,40,20,n/a
R_erZXZyAh6qbDp3v,Default Response Set,Anonymous,4,1,0,9/21/16 13:49,9/21/16 14:12,1,1,C_transplant,C_motocross,I_torture,C_vaccine,I_motocross,C_torture,C_air show,I_cargo,I_transplant,C_footbridge,C_wood press,I_footbridge,I_nurse,I_wood press,C_cargo,C_nurse,C_grizzly,I_air show,I_grizzly,I_vaccine,complete,,1,,,1,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,24.571,27.023,28.363,2,2.231,22.604,25.256,11,23.87,25.019,29.968,2,42.711,43.749,45.899,2,18.95,21.016,22.236,3,6.838,83.581,86.377,4,48.843,62.989,64.461,4,22.773,24.279,25.409,2,24.849,27.608,29.347,2,31.213,32.424,33.587,2,11.81,12.724,13.949,2,14.846,15.868,17.597,2,3.037,15.543,16.793,5,3.573,32.446,33.993,4,20.376,21.444,22.839,2,66.581,76.288,77.638,2,25.031,108.255,111.743,2,10.44,16.53,17.589,3,20.88,25.442,26.485,3,24.331,26.295,26.798,3,4,,2,25,2,,"Ist das moralisch korrekt, ein Mann, der nah ist, zu schieben, um vier andere Personen an Sterben zu verhindern.",1,,2,18,5,7,7,7,7,5,6,6,5,0,19,20,9,
R_6tbdcTk3rWgggE5,Default Response Set,Anonymous,5,1,0,9/21/16 14:27,9/21/16 14:53,1,1,I_torture,C_transplant,I_transplant,I_cargo,C_cargo,C_wood press,I_air show,C_air show,C_nurse,I_footbridge,C_grizzly,C_torture,C_footbridge,C_motocross,I_motocross,I_vaccine,C_vaccine,I_nurse,I_grizzly,I_wood press,complete,,1,,,1,1,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,100.761,100.761,102.637,1,14.791,14.791,18.639,1,24.741,24.741,40.474,1,32.861,32.861,33.755,1,89.514,89.514,90.616,1,23.007,23.007,24.328,1,28.812,28.812,30.082,1,22.475,22.475,23.173,1,6.954,6.954,7.758,1,50.847,50.847,51.94,1,31.747,31.747,32.527,1,20.749,20.749,22.473,1,22.729,22.729,23.645,1,12.428,13.923,14.912,2,10.895,11.253,12.274,2,32.746,32.746,37.647,1,17.934,17.934,20.196,1,96.265,96.265,97.064,1,163.954,163.954,165.134,1,32.989,32.989,35.465,1,,4,1,26,1,"They are all slight reformulations of the classic ""train track"" moral conundrum that every philosophy 101 class goes through. ","Ist es moralisch, den nebenstehenden Mann zu schieben, sodass vier anderen Menschen nicht sterben?",1,,2,20,12,7,7,7,7,6,6,6,5,0,25,40,10,"I'm really, really wary of the results of a study like this. These ahistorical, decontextualized situations, presented in questionnaire form, probably prove nothing about how we act in real life, where emotion and time are factors. It is easy to coldly and theoretically assure oneself that one holds to the Categorical Imperative in theory, but far messier in real life. If the study seeks to find out what we as German speakers report about these moral scenarios, then maybe there's something to be gained, but I would be very skeptical about whether or not this says anything about how we might morally act in the world."
R_9mh1zsFXMjwG4rb,Default Response Set,Anonymous,6,1,0,9/21/16 17:33,9/21/16 18:03,1,1,I_grizzly,I_wood press,C_cargo,C_air show,C_motocross,I_torture,I_footbridge,C_transplant,I_vaccine,C_torture,I_cargo,I_air show,I_motocross,I_transplant,C_wood press,I_nurse,C_vaccine,C_footbridge,C_grizzly,C_nurse,complete,,1,,,1,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,40.887,40.887,45.249,1,216.584,216.584,218.412,1,66.821,70.706,74.785,3,36.941,37.122,41.245,3,23.942,28.391,35.43,2,65.004,70.685,71.522,2,14.444,34.635,36.078,2,59.372,59.372,60.93,1,92.775,99.674,101.524,3,5.946,5.946,10.264,1,18.385,18.385,19.877,1,4.177,58.97,61.37,4,22.683,22.683,32.042,1,33.764,33.764,37.07,1,30.537,172.01,177.386,13,4.923,4.923,10.432,1,43.487,43.487,54.2,1,23.587,23.587,27.94,1,72.653,72.653,74.634,1,35.297,37.904,38.461,4,4,,1,28,2,,"moralisch gesehen ist es richtig, den Mann in der Nhe von Ihnen zu drngen, um den Tod der vier anderen Leute zu verhindern? ",1,,2,15,18,7,7,7,7,6,6,7,6,0,49,77,26,"I mean, a lot of the scenarios are utterly ridiculous. "
R_aUUBpBFEJvoFRRP,Default Response Set,Anonymous,7,1,0,9/22/16 12:36,9/22/16 12:46,1,1,I_nurse,C_wood press,I_torture,C_motocross,I_footbridge,C_nurse,I_wood press,C_air show,C_cargo,I_motocross,I_transplant,C_transplant,C_vaccine,I_air show,C_footbridge,I_vaccine,C_grizzly,C_torture,I_grizzly,I_cargo,complete,,1,,,1,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,5.324,5.324,6.723,1,25.516,25.516,27.207,1,14.288,14.288,15.772,1,8.455,8.455,10.198,1,4.909,4.909,6.252,1,24.627,24.627,27.067,1,9.203,9.203,10.551,1,19.027,19.027,20.506,1,13.558,13.558,15.185,1,29.264,29.264,30.176,1,16.881,16.881,18.042,1,7.268,7.268,8.821,1,4.244,4.244,9.688,1,12.226,12.226,13.156,1,5.164,6.984,7.92,2,26.963,26.963,28.46,1,12.91,12.91,13.801,1,10.603,10.603,11.508,1,25.948,25.948,27.349,1,3.276,3.276,4.694,1,4,,2,28,2,,"Ist es moralisch correct neben stehenede Menschen zu drckne, um vier Menschen von sterben zu retten? ",1,,2,13,20,7,7,7,7,7,7,7,5,0,11,24,24,The scenarios are absurd and not black and white. 
R_3efTmhb6XX6N6BL,Default Response Set,Anonymous,8,1,0,9/22/16 13:36,9/22/16 13:59,1,1,I_torture,C_motocross,C_grizzly,C_transplant,C_torture,I_grizzly,C_cargo,C_vaccine,I_motocross,C_nurse,C_wood press,I_nurse,C_footbridge,C_air show,I_air show,I_footbridge,I_wood press,I_transplant,I_cargo,I_vaccine,complete,,1,,,1,1,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,36.041,36.041,37.543,1,46.089,46.089,47.999,1,28.131,28.131,33.434,1,30.128,30.128,32.201,1,19.379,19.379,21.117,1,31.494,53.21,66.279,2,22.811,22.811,24.306,1,52.482,52.482,54.158,1,20.072,20.072,21.551,1,61.561,61.561,64.811,1,33.72,33.72,34.497,1,23.199,23.199,24.741,1,12.235,12.966,33.311,2,22.682,22.682,24.541,1,34.526,34.526,43.543,1,71.878,72.775,77.385,2,17.123,17.123,19.074,1,51.286,51.286,59.377,1,24.552,24.552,33.423,1,19.342,19.342,22.015,1,,4,2,33,1,The scenario involving the organ transplants,"Ist es moralisch richtig, den in der Nhe stehenden Mann zu schieben, um zu verhindern, dass vier andere Menschen sterben? / um den Tod von 4 anderen Menschen zu verhindern?",3,Canada,2,19,27,7,7,7,7,7,7,7,7,0,50,75,60,
R_9mexFKGz8TLmxcF,Default Response Set,Anonymous,9,1,0,9/22/16 14:39,9/22/16 14:53,1,1,I_nurse,I_motocross,I_transplant,I_footbridge,C_air show,C_wood press,C_nurse,I_grizzly,C_footbridge,C_cargo,I_torture,C_torture,C_grizzly,C_motocross,C_transplant,I_vaccine,I_air show,I_cargo,I_wood press,C_vaccine,complete,,1,,,1,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,17.625,17.625,19.469,1,27.402,28.781,30.305,2,22.923,22.923,24.859,1,21.234,21.234,22.612,1,19.822,19.822,21.324,1,27.64,27.64,28.996,1,27.565,27.565,29.074,1,19.876,19.876,20.789,1,18.628,18.628,20.059,1,29.931,29.931,31.012,1,18.937,18.937,20.251,1,15.724,15.724,17.138,1,15.227,15.227,16.349,1,17.868,17.868,19.585,1,33.486,33.486,34.595,1,21.098,21.098,22.568,1,25.677,25.677,28.276,1,15.67,15.67,17.245,1,19.403,19.403,20.51,1,26.989,26.989,28.104,1,,4,1,27,2,,"Ist es moralisch korrect, den nahstenden Mann zu sto§en, um zu verhindern, dass die andere vier Personnen sterben? ",1,,2,18,19,7,7,7,7,6,6,6,5,0,20,40,10,
